iso_a3,SSP,variable,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
-99,ssp5,rx1dayETCCDI,28.418903,26.63867,26.909296,28.268042,29.129326,29.39864,26.915852,28.122402,29.775925,28.30326,29.103148,29.99456,28.356928,31.119688,29.321362,31.101313,28.10771,28.729797,29.242722,27.136436,29.820833,29.882942,28.168257,29.522898,30.186094,34.79499,32.67022,31.687263,31.66939,31.623098,29.375654,29.099735,31.441265,30.45313,30.869364,33.143555,32.32044,32.73724,32.365543,28.25512,29.969202,32.148056,31.985807,33.179577,33.259495,31.719086,30.38447,29.75565,29.411253,35.69766,27.199118,28.761545,38.457756,32.062466,31.128677,34.02316,33.075577,31.69451,34.14619,30.220865,34.75767,32.424007,33.41544,32.54428,32.233795,31.37685,32.193695,35.5738,33.6361,31.105812,34.222034,35.65762,39.044964,36.818634,35.318233,36.110603,36.352478,32.75279,33.252327,35.547977,37.420174,38.90693,36.67794,36.085052,38.683384,34.886795
AFG,ssp5,rx1dayETCCDI,27.435486,20.699745,20.978935,22.911955,27.7396,21.298454,18.962147,19.143747,13.79602,24.537575,28.626392,19.293304,23.225784,27.898851,15.059924,16.427832,17.391884,33.61034,17.472189,16.420626,24.1692,23.827345,17.219141,22.370026,24.002665,24.240294,24.011726,16.790062,25.85336,18.652988,37.594048,26.967443,25.175041,19.646736,14.877398,32.924328,29.26738,27.210253,13.181477,14.587996,38.353786,28.881306,25.44294,18.727718,29.686813,21.906004,20.511309,12.786089,30.27756,25.789598,24.501091,28.443878,29.882946,25.498798,19.421972,38.04734,28.324598,15.163937,34.400116,22.609293,33.04758,19.14739,18.874609,26.640884,29.399782,18.590294,17.453272,30.027195,21.878153,18.376606,26.861502,24.035007,18.8561,20.738338,25.058416,27.954794,26.889376,27.243132,13.455597,24.265503,29.314491,21.219042,29.421955,30.801264,19.629335,44.39205
AGO,ssp5,rx1dayETCCDI,34.282993,32.165047,33.325096,32.182877,35.59501,31.669155,33.694096,34.697273,33.963036,34.500595,36.649536,33.838142,34.851555,35.34296,33.412197,34.954468,34.141808,34.777042,32.98133,37.80989,32.709377,34.161934,35.169865,33.240295,34.745003,34.62172,34.586163,37.4209,35.585754,38.099915,35.434273,34.23183,36.04409,33.56675,34.153275,33.358032,33.817665,40.12973,36.004852,34.01569,35.10213,39.277294,35.21178,32.479473,36.332256,39.878784,37.330605,34.986156,38.99072,42.66372,38.458813,35.707897,38.568867,38.33507,38.038563,35.87707,42.072475,39.398388,39.72803,41.22365,44.321415,38.956165,43.25347,39.43254,44.755,42.007664,37.380596,42.53364,44.570625,40.932407,38.573616,45.06143,38.996704,43.411118,42.193924,43.744484,47.498566,47.598576,41.64477,42.17725,46.697964,47.063046,41.140957,44.905186,53.471058,49.765747
ALB,ssp5,rx1dayETCCDI,35.050415,33.16848,39.700848,50.438038,37.523457,39.348537,50.609447,49.223133,34.442066,46.660973,38.53934,36.04964,63.233173,44.916645,38.328777,36.63761,36.226063,38.766876,41.507866,35.85254,42.505928,47.30081,34.286594,38.27139,51.615078,49.1878,43.633854,44.6363,40.62022,38.772522,59.99297,37.51247,52.19854,39.211845,53.79125,49.38886,56.165424,67.2706,64.35098,49.342308,31.812761,51.464573,47.205273,39.735126,49.37952,44.815857,47.575706,57.894985,79.91974,42.47056,42.23474,49.37098,39.654644,44.442295,44.721653,38.56196,53.67163,51.784725,51.06411,53.572987,65.97329,38.351402,41.459507,44.13617,48.223476,52.30732,40.18024,40.7784,63.506348,37.956764,63.76477,57.289295,60.538948,49.03367,49.82978,61.86858,40.571472,52.441917,51.110466,49.713043,40.107414,47.142727,83.27606,59.59546,69.47899,40.022465
ARE,ssp5,rx1dayETCCDI,6.603173,10.304711,4.7065234,28.199377,12.061173,6.060753,7.3929358,27.528767,1.0684003,8.563512,45.72354,13.852814,11.612254,13.939443,5.344172,3.172947,1.5016826,1.9883078,1.2546327,0.9153599,12.005053,20.22781,39.750698,2.3485723,20.29247,7.3235273,12.273568,2.1092448,8.317281,3.6131363,6.7998505,14.176923,9.651019,9.1697035,1.2879431,20.44168,30.986668,2.263539,0.62190396,8.0525875,15.225839,18.745514,1.5144424,0.3353844,32.077473,9.594118,1.4990326,0.95724857,9.110189,6.353257,1.4454912,25.758993,43.16236,5.2488174,6.065441,42.47223,9.339136,21.490234,5.3682327,3.9419954,39.56419,2.2410984,13.357742,10.636605,10.809893,23.464853,1.9685395,13.404302,67.990776,1.6191796,18.523886,46.251904,1.3521084,3.4239788,12.218515,27.757282,12.768721,133.29498,1.8024075,23.893463,12.976195,21.081614,3.135154,17.074526,3.2555025,16.626608
ARG,ssp5,rx1dayETCCDI,47.46647,44.650116,45.709133,49.19982,47.36899,45.931602,44.720936,48.587757,48.271725,48.19557,47.22137,51.39233,49.601936,44.16533,48.25685,53.054928,48.360302,50.90686,52.01619,48.528328,52.54507,52.23947,49.452908,49.715767,50.897396,51.563293,50.638615,47.291145,48.332726,50.585506,48.023457,47.631046,57.976242,44.70643,43.522934,49.90842,53.538372,56.95512,52.849937,44.844437,50.035793,53.739452,57.4716,56.770775,57.784332,51.37436,54.50932,53.070667,56.299072,68.742676,50.758003,50.542297,64.4319,56.89895,53.340416,56.498505,61.085377,48.120224,49.78283,55.624058,60.376698,51.37962,60.23948,56.645004,57.416245,56.251446,54.10405,62.441246,64.42755,56.37229,56.2619,60.561802,66.408264,58.607666,58.49398,64.20693,66.572876,58.66104,59.585922,63.24121,72.91412,57.134373,61.16149,57.072548,73.140495,68.817894
ARM,ssp5,rx1dayETCCDI,26.87707,24.900946,19.795094,27.88063,27.814178,24.114054,22.061548,27.338516,32.951725,23.94779,24.360718,27.426834,20.535406,22.58079,24.945366,28.969156,26.164282,24.000053,24.476324,23.58283,23.596731,24.142096,20.970137,21.868135,25.49724,31.361465,28.789968,23.602264,21.338923,21.784042,32.676823,27.273935,19.995419,21.718912,23.070322,26.82126,21.97505,26.595505,21.851776,23.78183,30.972666,27.943512,29.113739,24.674133,23.39531,27.358637,26.334494,26.494612,22.847696,34.19891,31.25321,31.901909,30.12587,25.764923,30.554876,29.807291,22.657034,23.124166,23.4263,31.526154,32.268578,29.100504,21.558851,27.921244,26.275627,23.467356,25.645395,24.4374,27.791235,30.603348,28.10872,28.887924,27.28434,25.539774,24.855072,34.072636,22.615446,31.87626,30.611795,26.022064,28.239021,36.818882,23.874044,26.236013,27.53197,22.095741
ATA,ssp5,rx1dayETCCDI,7.3312645,8.60937,8.083435,7.6725273,7.9650154,7.9015126,8.154933,7.4940057,8.252394,7.9585967,8.058614,8.454845,7.568765,8.297183,8.186286,8.413013,7.7079997,8.498851,8.151792,8.050701,8.608412,8.535395,7.846995,7.439292,8.627102,8.585382,8.338984,9.318967,7.7611904,9.28845,8.729909,8.663541,8.494041,8.454439,8.93875,8.165961,8.569189,8.397882,8.240083,8.826509,10.0698395,9.244313,8.618503,8.822898,8.893056,8.960668,8.782695,9.50131,8.712549,9.967539,9.629569,10.4749155,9.123281,10.104332,8.887141,9.936085,9.240725,8.664878,9.436981,10.034735,9.376069,8.760004,9.122031,9.382459,10.650869,9.706651,9.839995,10.279729,10.023885,9.468388,10.423865,10.184754,11.019747,12.211313,11.227472,11.132123,11.253345,11.579227,10.347346,9.030892,10.081134,11.284757,10.894282,11.732057,11.094613,11.653001
ATF,ssp5,rx1dayETCCDI,27.979,30.94161,29.913534,34.46467,33.572495,53.598526,21.823858,32.74822,39.60499,25.925734,25.355927,28.358242,33.025764,40.053722,25.56789,49.964897,46.525223,30.20694,48.687187,29.964642,24.151455,35.56922,36.8702,33.028217,27.14196,26.244528,41.787674,27.200989,29.257256,40.302425,26.09946,30.796835,43.177567,32.001495,47.647606,27.639078,31.394178,37.872368,37.66246,47.703007,34.561012,31.438948,38.43232,45.804554,44.810764,40.458893,28.90943,28.862375,59.228817,36.85921,33.29244,30.09362,32.184,38.79479,66.67154,30.521162,29.356739,33.97918,26.341236,36.725876,33.46832,30.52032,51.579235,33.179832,35.001236,40.01425,36.88864,33.043884,35.506805,36.1496,36.82228,29.883942,51.254723,40.595917,41.4143,49.02461,35.815147,27.581154,31.970272,26.250269,54.10324,42.433846,40.602085,60.810833,54.788094,39.14024
AUS,ssp5,rx1dayETCCDI,45.535294,40.057297,42.018394,32.63812,40.49025,47.870934,39.61055,45.057396,45.038895,36.852203,37.652973,40.30384,39.180023,39.508102,45.209812,45.43625,39.62967,41.643124,47.146736,43.352207,43.53906,40.79403,45.93199,40.16654,45.13948,39.943146,45.61025,47.247143,41.558254,44.99685,43.212177,44.82031,56.27571,52.65138,46.3483,47.17829,42.89503,50.055298,51.511364,46.725636,45.20818,49.72442,46.963463,46.972862,39.678997,48.79886,60.77688,52.96579,48.18883,53.886375,45.60094,49.062084,47.403824,40.69306,52.122147,46.891113,52.48583,53.308205,53.085335,41.642193,50.35078,67.67874,59.780334,48.49375,50.010937,58.220383,62.004578,56.873604,68.69252,56.374683,55.16253,61.08403,61.010944,74.15817,55.614784,62.25861,73.69767,63.321735,81.63107,62.002438,80.23153,76.520744,64.277824,69.18219,51.554478,84.379456
