iso_a3,SSP,variable,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
-99,ssp1,rx1dayETCCDI,28.236876,27.4683,29.628777,28.900599,25.972906,31.380793,28.129795,28.633339,28.358929,28.256918,28.349089,25.186068,29.617619,28.087986,30.631865,29.710802,30.381014,28.708868,30.79864,28.20209,29.130835,28.466326,31.419619,29.200018,30.324156,29.712984,29.198816,28.795063,28.743952,28.823034,28.513788,28.598108,30.485703,25.551905,29.247759,29.31679,26.236328,25.93929,28.414898,29.789371,27.21357,27.613235,30.070705,26.406029,29.78368,30.827972,27.608461,27.9413,27.913916,27.06922,27.03742,28.93018,29.717861,27.919338,27.493286,30.132483,26.14394,29.030787,29.615704,32.258408,32.17656,30.94451,30.67146,32.6201,29.137825,28.090902,26.110138,30.142439,30.10713,27.798954,28.501871,28.421675,27.616758,27.796928,27.446741,28.474241,28.37519,30.432037,28.040546,28.106653,26.317072,28.16764,29.017181,28.352106,32.24843,30.149578
AFG,ssp1,rx1dayETCCDI,13.743726,21.887712,13.448448,27.573252,24.583069,18.965292,22.366999,21.656826,21.720863,30.19205,14.349407,24.352423,17.227491,24.59609,18.900364,13.981401,15.602249,22.882421,23.142788,14.434271,22.307941,26.428879,26.47615,15.558522,21.299007,30.856344,17.937744,22.659725,23.776405,21.798141,19.358025,27.236507,18.540827,24.503414,27.783281,31.727276,20.150043,13.420726,16.732738,24.572382,8.84675,27.167055,27.820145,26.46158,22.17781,16.387348,17.402918,17.478756,23.336351,30.973263,22.203371,24.635452,20.389435,16.705856,23.121569,22.640425,17.11881,13.46522,32.22858,23.664417,22.480858,19.408232,20.512419,27.378143,32.372974,10.722044,18.117693,28.103455,33.18275,15.141553,18.03447,21.03995,21.82519,25.84578,25.559813,22.522593,26.212534,23.395374,17.540928,21.085348,22.809706,21.28643,21.592417,24.735092,26.27082,20.199507
AGO,ssp1,rx1dayETCCDI,32.554577,32.527157,35.844234,31.30387,33.970272,35.186047,34.248505,32.37165,35.697937,32.795113,34.8693,37.875336,34.939697,36.961754,34.30193,34.843224,33.26908,35.82301,38.374195,33.74633,37.196224,31.837488,34.90198,33.82099,36.21201,36.151184,33.944126,36.252552,33.46153,35.751038,35.30143,35.6159,32.115623,35.670258,34.190014,34.03027,34.790913,36.249454,33.240208,34.927734,31.294256,32.865906,37.458275,33.987125,36.605167,38.079308,35.290928,35.496254,35.421814,34.71362,37.22378,37.671833,36.598095,32.648323,34.025955,37.949394,37.070843,34.221615,33.899326,36.064587,37.612854,34.568104,37.31393,33.35974,36.426003,36.16823,32.60854,33.668133,37.242287,34.11244,36.56505,35.300255,34.161976,35.52893,33.926933,35.398228,36.31223,33.054367,34.24858,34.81223,34.36656,33.955837,34.005077,34.886757,36.677658,36.22675
ALB,ssp1,rx1dayETCCDI,43.263603,28.08349,42.44916,29.23797,39.175045,42.02532,38.45444,30.655605,43.424557,31.51434,43.786373,45.169212,53.007923,44.06542,49.582073,72.11504,40.272533,35.76247,40.091156,30.085087,45.234894,38.864197,56.07663,32.111427,48.88058,34.463535,43.661293,46.00976,36.85522,40.37986,66.23487,73.9492,56.524532,31.060442,42.599026,42.55929,39.99249,55.089516,41.119957,69.8859,54.208305,27.741987,32.12562,43.52108,54.76069,38.61027,35.04972,31.001692,36.936756,40.87057,32.860413,36.98333,34.879208,44.288486,47.945965,36.95747,43.174934,32.4156,39.232903,48.35227,58.03805,80.00564,39.16776,55.50348,39.028904,42.348476,46.97828,74.40519,42.865658,48.341827,35.759846,43.69214,44.132366,66.60744,24.850233,58.76151,49.00062,44.094982,44.30957,47.2432,29.893204,32.58673,54.22467,40.107983,49.87771,46.181545
ARE,ssp1,rx1dayETCCDI,2.8327477,1.1345531,5.090253,10.582219,12.335879,2.2176888,7.6342235,5.698529,8.472308,10.352269,8.028898,5.75428,4.092384,13.280142,0.4168419,1.4654778,3.6601887,15.079298,11.274947,1.7307837,8.971028,15.31453,20.928959,2.0944736,5.3742843,26.139538,1.0671202,4.740559,8.142672,17.31399,16.170078,4.725865,2.1041603,2.7787993,6.032154,23.585018,6.4791636,1.4045995,2.9454806,7.7399015,0.44187954,14.883828,12.794511,6.856498,10.953825,4.579848,2.8455317,1.9179496,13.657462,25.850794,13.3148365,22.295242,9.699307,4.5060196,8.315104,17.763231,0.33669904,1.4366676,15.23321,18.945765,11.602308,2.3949187,2.0781195,7.9877696,12.275099,6.98166,2.57074,15.253018,9.051446,0.5383262,2.1249766,11.76166,7.6034822,20.88861,9.450721,3.4655287,27.020437,3.5065799,1.4450533,5.708406,9.38727,7.8637557,2.8941295,4.659253,17.340448,28.115301
ARG,ssp1,rx1dayETCCDI,47.049145,49.882195,43.02145,47.715187,47.39365,42.924374,47.711906,45.972496,51.027245,47.13823,44.717907,42.638,45.424526,53.89086,50.94706,43.076637,47.658195,46.427658,52.234432,43.34231,52.194332,49.069736,48.752987,44.771244,51.059055,50.348545,49.047775,41.597286,46.203587,43.478584,48.125652,49.05826,47.33096,47.301777,49.301476,48.884743,47.18137,46.20783,45.416225,52.25632,47.6572,51.327454,47.247654,45.107155,49.59837,56.644016,46.57354,48.24992,46.816463,54.684486,46.274857,46.002117,47.67609,51.174797,41.46569,47.89663,46.89121,49.708847,48.393925,53.906048,48.89132,49.8004,45.97489,48.151848,49.68136,48.148937,48.79033,47.53105,52.20452,53.264282,44.569393,45.94839,45.2712,51.03096,44.045467,47.971848,45.432064,47.814327,46.800182,46.28616,48.836483,48.756596,42.591705,50.12894,47.33311,45.937305
ARM,ssp1,rx1dayETCCDI,21.767916,27.583282,26.66292,22.41384,28.414843,24.576523,27.56253,22.743433,25.880219,25.38946,19.741262,18.620972,25.662428,31.726141,24.382792,23.530203,30.417856,23.19512,29.91384,29.263777,27.668867,25.964157,26.413778,23.128649,27.734835,28.925825,24.870596,24.043318,24.00144,26.633146,28.434837,25.63357,25.155418,23.457098,19.56199,24.151743,23.03798,22.326399,21.960793,28.78784,27.180313,20.623981,26.131643,26.026413,22.172476,32.24084,21.536463,27.23031,23.78346,26.92866,28.030401,26.698105,24.464987,32.72161,27.615358,32.350315,25.433357,26.326973,30.63878,27.41716,28.90238,23.75033,21.840742,29.676107,28.651747,20.52585,26.387156,25.533983,24.750223,17.839865,25.49824,20.01557,25.210241,30.42351,29.431978,23.220657,30.231375,24.11944,21.446287,29.791054,30.371124,28.799986,26.630308,24.44039,23.704727,23.026506
ATA,ssp1,rx1dayETCCDI,8.342536,8.681897,7.7440977,7.972264,7.838185,8.510064,7.862996,8.390591,8.130738,8.501622,8.954657,8.903686,8.150926,8.422632,8.797633,8.182533,8.6026125,8.815528,9.086894,8.206929,7.9357214,8.090793,9.4976015,8.801115,8.734994,8.640823,8.100473,8.117285,7.817684,8.768282,9.176737,8.632586,9.164353,7.8267255,9.069592,8.300256,8.44394,8.359048,8.781616,8.311689,8.31029,8.34751,7.8698316,9.219337,8.418125,8.460156,8.002942,8.075478,8.986841,8.94369,9.431905,9.034669,9.16591,9.317962,9.245263,8.520481,8.433905,9.75812,8.609352,8.670801,8.309537,8.514872,8.440586,8.200224,9.1464205,9.313698,8.061518,8.561639,8.845105,8.412622,8.961451,8.837929,9.071818,8.485058,8.752192,8.610578,8.18124,9.131791,8.979353,8.933233,9.562741,9.227359,8.465927,9.124645,8.888301,9.309632
ATF,ssp1,rx1dayETCCDI,21.385685,34.07664,38.84265,30.827295,27.153877,39.79139,39.596134,45.746284,30.809235,35.589134,37.124184,39.584934,38.296776,29.24905,25.591076,31.23291,30.591125,29.509289,29.668806,29.172905,50.342865,45.549736,33.17007,62.45428,45.301655,32.379906,31.32022,41.435875,31.190634,33.779465,26.091866,48.2285,32.180206,26.466719,25.157846,34.921787,34.401352,29.169516,30.856491,28.164284,49.41636,28.699541,50.71532,23.307919,38.12609,29.292805,35.346664,48.932747,21.833345,34.223175,27.199316,47.623207,46.40526,45.033283,41.319206,22.86671,38.21354,38.43372,42.176624,29.269022,47.055725,33.91295,37.838478,30.807262,42.11097,33.85131,60.06434,31.370153,42.65835,23.016886,25.469639,45.0997,28.806417,48.405025,26.451038,42.087997,32.85515,31.057281,34.393967,31.610174,27.777554,37.374268,40.908962,25.180971,27.41821,36.40072
AUS,ssp1,rx1dayETCCDI,38.771164,44.932632,39.59064,34.613075,43.7177,47.202293,45.9134,40.95246,33.056877,40.74371,36.20085,40.59333,44.887653,42.01578,48.42895,42.78949,42.71332,41.41339,41.441463,42.790657,37.44893,43.39545,44.71427,39.230732,34.897068,39.502537,43.929474,35.9928,43.487873,47.79303,46.247982,41.167538,32.196194,39.749195,42.424152,46.174767,38.97759,47.24208,43.90345,39.88844,45.343742,43.62379,40.899757,47.473488,43.882862,46.441235,46.540558,45.242912,45.118122,42.377182,50.693684,42.641346,43.11735,42.767147,44.698895,47.908825,42.83251,45.367496,37.920254,35.94122,39.259407,39.458637,46.7938,44.68957,48.77894,44.8611,45.47163,36.472237,47.251595,49.529278,41.570187,35.973408,41.286404,46.167095,44.114857,42.967804,44.253174,37.229275,45.3394,37.346138,38.91759,50.299385,38.343674,41.538277,53.25189,47.46497
