iso_a3,SSP,variable,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
-99,ssp2,rx1dayETCCDI,29.169668,28.211435,27.22655,29.959806,29.90053,28.559813,31.22747,26.710522,30.438017,29.170778,30.879774,29.278265,26.820704,26.671942,30.511465,25.474083,29.436878,29.510801,29.34297,28.297945,28.958471,29.463455,27.922718,26.897608,28.18561,29.02531,30.401817,28.202305,28.957909,26.149973,28.293085,29.689333,29.749199,31.18482,27.40703,29.376886,26.83144,28.70796,30.935818,32.181538,29.383114,30.66154,31.70371,30.698446,29.933683,29.522038,27.837933,31.632185,33.799263,27.634504,31.234152,29.019773,26.960646,29.801138,31.458885,29.584732,28.972225,29.445065,28.771095,33.417145,28.717445,30.583902,28.512188,30.040546,29.573088,30.964367,30.112972,29.386631,32.487682,30.614555,30.131962,32.509403,28.360594,30.223745,31.609287,29.976938,30.003393,30.187088,34.512184,29.955036,34.70213,31.596638,29.212818,30.869404,32.015877,29.599213
AFG,ssp2,rx1dayETCCDI,22.97799,22.111637,16.120289,30.19621,27.043575,14.841494,20.35973,21.445566,17.03502,25.544167,37.11593,24.28011,14.876154,15.679944,24.133333,17.102865,26.314964,23.679522,15.863754,22.32421,29.964256,13.73337,27.474321,20.694277,23.492588,14.827603,25.559198,29.57693,17.55456,16.245792,22.981312,23.30743,20.455385,17.66132,27.285553,30.16194,17.773718,24.675365,26.183283,26.580208,19.505102,24.317295,23.94063,16.653648,29.030666,25.64222,23.997768,24.717556,30.375532,19.052568,23.984257,18.874125,15.842411,18.561096,19.85908,20.17158,21.185425,18.24259,22.39538,27.673447,16.371607,20.78838,22.554283,20.279299,22.840944,28.445328,19.575504,19.941998,20.588606,22.491272,23.657,19.247889,13.443286,26.189138,32.155365,27.48742,27.818295,29.591827,25.452105,18.499378,23.50681,29.064852,17.626917,17.037373,25.642818,26.139912
AGO,ssp2,rx1dayETCCDI,37.948624,34.678524,32.530895,32.658947,36.202404,32.67306,33.307854,32.139904,33.774673,37.44744,34.13507,31.753172,32.440823,32.846546,34.02659,32.554016,34.226223,33.05991,33.10144,33.51369,37.87532,33.622967,31.033562,36.663795,36.144707,33.33258,37.042095,36.09686,36.50418,32.26753,36.123276,36.154797,35.73246,33.38454,35.49925,37.955624,35.35189,34.972073,33.3031,34.308933,33.54831,33.04248,37.055405,34.942955,37.947792,35.6142,34.343445,37.29816,39.37419,36.776978,33.113075,35.886066,35.814163,35.566307,35.048607,38.782974,34.994102,37.262154,36.470207,39.24747,35.341324,37.924515,36.55805,35.71795,39.225613,39.378853,34.840492,38.544735,33.743095,36.25731,34.46665,38.69233,37.68072,41.388596,37.20764,35.968697,37.746292,39.115475,37.01132,36.24298,37.23839,37.488842,34.836765,36.217754,40.45182,37.0426
ALB,ssp2,rx1dayETCCDI,39.43701,48.880688,44.172337,44.466827,36.70932,63.231052,48.606686,39.639732,59.434944,38.645107,40.52775,48.716297,47.32197,46.06432,43.763954,60.908173,48.860115,45.51035,54.732964,35.989723,49.172638,40.73571,46.276184,46.05985,83.75237,41.169758,36.75867,37.720776,34.869236,43.231304,49.008293,46.463886,42.913166,35.053276,40.493618,32.67749,62.668304,32.835094,41.764256,55.938725,47.433384,73.37057,57.88722,38.78492,41.171837,43.510715,48.57803,46.1802,52.295536,81.784645,53.739155,38.887276,52.30703,87.141174,47.879707,48.20034,35.881702,45.591957,60.815643,38.674946,41.497974,43.91028,66.37678,43.64237,42.302456,51.86312,45.189117,49.184704,40.706085,48.252388,57.188305,58.27239,40.68217,34.21401,45.543423,47.907505,37.48231,39.32428,48.20693,54.946632,73.25658,35.34032,37.551796,68.21629,40.370747,40.791138
ARE,ssp2,rx1dayETCCDI,5.892727,21.650528,6.314274,16.027344,29.920807,0.94164073,21.206007,10.770053,2.74624,15.973945,37.53951,5.138253,5.202723,5.129894,5.694163,10.185484,2.651046,27.343462,2.0253794,49.894135,3.1651473,0.93170357,11.022909,4.789035,14.049713,1.1011431,23.885317,4.466274,9.713182,1.6255296,3.632606,12.281105,17.108036,10.616033,5.6487966,37.120144,3.1373177,3.7584245,13.584247,8.496956,21.199724,5.492892,20.685701,7.0902605,39.99874,5.148503,8.388095,9.42129,5.7082934,5.833499,8.67243,7.8059,0.67584324,2.8180826,10.590234,4.5993257,7.439816,26.296831,4.332129,37.97675,3.9274826,10.180007,5.691682,1.558477,6.0700383,26.767345,3.2592106,3.6087992,6.297325,7.243317,19.764357,23.447767,1.7439001,3.2464244,2.6118379,10.776758,3.2446082,8.327106,9.951354,6.3489027,12.688182,20.550686,0.8268565,33.831562,6.2346773,4.0303407
ARG,ssp2,rx1dayETCCDI,46.97442,49.44079,46.20054,46.115616,55.327866,47.627018,48.436474,49.473534,47.2295,48.040245,49.856365,48.03012,41.38611,50.141766,50.826767,42.85611,53.312332,48.70208,45.88907,46.734833,50.085403,45.51447,47.167637,47.517498,47.22511,42.35183,51.17694,50.956112,44.151573,45.015705,45.27762,51.699566,50.637947,48.9871,48.603573,50.618107,44.756187,43.494987,48.651817,51.620598,49.615402,45.61604,50.80041,53.638073,51.77813,61.959545,54.117077,52.86192,45.307312,48.07534,57.388786,52.010212,50.922268,46.955765,44.89427,50.954746,54.099808,50.925236,50.717823,54.830544,44.993225,51.40132,50.812065,46.232742,50.243874,51.65955,48.31297,49.80579,47.20602,52.26171,52.54631,57.52251,46.41677,44.841476,48.084736,57.89555,52.311287,53.836105,52.47317,48.50597,50.296276,61.155247,50.614048,48.6444,56.70547,45.702766
ARM,ssp2,rx1dayETCCDI,25.574814,26.45878,23.826384,22.731863,24.858541,24.83136,27.868958,20.392971,25.429718,22.41245,29.946075,25.938406,18.150103,27.712488,27.324926,25.386042,21.67953,23.765947,26.983671,21.204988,20.543325,22.21379,23.965887,32.803364,22.988886,19.159552,26.44523,26.001692,30.977518,22.5409,20.322886,32.34827,26.84945,33.901295,25.607447,27.01284,26.80841,20.8395,36.070232,29.607424,32.35126,33.602024,24.015665,25.201792,27.953651,23.085897,24.740408,25.375414,31.230728,25.67805,39.601704,32.26,24.611504,27.534357,20.311445,26.828903,25.757597,25.43885,27.789795,24.3417,21.243324,31.558329,26.268778,30.943848,42.727768,25.145716,29.26767,28.67038,22.185959,25.920029,26.32598,31.711329,24.097986,25.9002,28.534271,22.838684,23.553024,22.844736,26.058495,25.802324,27.111567,31.936752,21.682793,25.984293,27.828485,27.495193
ATA,ssp2,rx1dayETCCDI,7.6061554,8.053774,8.78305,8.635953,9.152928,8.224944,7.792606,8.004869,8.510739,8.766698,8.374979,9.131523,8.062662,7.918825,8.354989,7.8558235,8.132018,8.474545,8.037909,8.754122,8.991484,7.540473,9.915169,9.289861,8.601113,8.441219,9.239989,8.208987,9.093576,7.269622,9.153059,8.541493,8.369456,8.598757,7.885177,9.6042185,8.411149,8.260129,8.801446,8.265442,8.413672,8.756672,9.868932,7.5962324,9.230587,8.489064,9.233826,8.790961,8.602743,9.397339,8.218151,9.493676,8.379419,9.4320965,8.611317,9.192476,8.960357,9.082577,9.221849,10.129239,8.223344,8.593544,8.397591,9.2138815,8.393021,9.481379,9.572974,9.9018345,9.434251,8.093836,8.810825,9.148965,8.841132,9.594089,8.909289,10.509686,9.777681,8.86221,9.802437,9.358051,8.811726,9.625167,8.791941,9.485023,9.913525,9.104925
ATF,ssp2,rx1dayETCCDI,34.942516,31.049175,47.200043,35.12493,37.179985,21.467422,26.214102,45.50239,34.162178,29.992775,29.809494,32.50739,31.848722,43.11093,38.640396,29.288244,49.993065,50.687496,31.573269,30.534393,32.50668,32.05274,47.775555,25.840206,45.036255,24.688972,30.685938,39.966858,32.00479,40.959705,38.719875,85.18202,35.46543,36.616917,44.25982,33.46652,36.752525,27.79883,30.890411,37.212166,34.983295,60.657616,37.24489,23.173574,24.061033,43.33449,35.964645,28.76259,33.40515,29.814556,51.483513,43.04561,39.064095,34.305428,31.402483,22.130318,38.287865,35.384026,31.670673,57.20216,35.81179,40.71686,47.71965,36.308987,32.847954,46.202164,37.343956,23.499176,38.64061,41.53962,48.021095,50.61418,47.175396,31.748943,31.285063,43.41413,41.828186,34.541817,32.30882,46.488564,42.447548,79.99015,37.858627,30.235912,40.98787,26.336475
AUS,ssp2,rx1dayETCCDI,43.88552,40.85269,38.384712,31.947989,46.70382,45.827877,43.731106,34.982082,46.570667,44.684425,41.002502,44.1992,42.705753,45.174286,28.033386,40.52679,42.654675,32.095074,41.959152,35.157146,39.87785,45.004772,41.76656,41.120487,35.275566,41.538418,41.506298,46.85385,50.082573,45.31972,43.49929,48.83725,52.33491,47.826775,41.892464,40.356262,43.33379,47.647224,38.18422,39.76513,47.03714,39.910194,44.78434,40.543552,45.237263,45.348156,43.39828,45.113083,38.376625,46.031696,44.744923,36.50459,41.259163,45.603085,45.841904,52.253242,38.97964,42.620716,40.965416,47.338028,47.72738,42.60172,43.70544,44.716072,44.301716,48.38814,48.81628,52.137024,47.480503,50.36185,43.0651,51.791656,48.793518,46.528957,44.40002,39.367516,57.927116,45.694717,44.057983,46.095932,46.25391,52.588963,51.297974,45.930977,47.400276,45.16065
