iso_a3,SSP,variable,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
-99,ssp3,rx1dayETCCDI,28.701544,28.658834,27.544127,27.621532,29.488829,28.838148,29.322695,29.839931,29.054712,29.178051,30.011087,30.546364,27.037628,27.205154,29.885546,29.12636,27.471972,27.14466,27.976913,27.552898,26.917051,29.61632,26.724583,28.996984,29.921505,30.455172,30.27154,30.559431,30.973692,30.92624,27.324625,29.711842,27.690353,28.41098,30.29053,29.581364,30.521862,30.313126,32.678925,29.443163,29.695744,31.597744,30.523788,30.459887,31.704222,31.762743,36.045048,28.418325,28.24688,31.53855,32.251316,31.302526,30.677921,30.499987,29.99534,29.461382,29.73346,31.06799,29.983532,32.59134,32.698223,33.47304,30.211761,32.190453,31.434963,33.476513,34.30977,31.479736,32.444057,31.070278,34.210842,33.740276,30.54484,34.487335,31.643948,32.241627,31.753368,31.576033,32.432076,38.661602,35.357788,37.412407,35.49686,33.499847,33.182,32.50319
AFG,ssp3,rx1dayETCCDI,25.720112,15.800202,15.768983,19.79683,19.594343,17.635849,18.013998,30.933424,16.791616,15.786602,18.699793,28.466621,24.684204,17.321537,16.168505,27.847792,23.626232,20.120949,24.077833,22.27822,13.634435,16.093147,24.051943,27.873606,24.40793,24.133009,18.462519,20.256708,22.205832,22.388819,26.172674,23.111897,21.961403,31.639223,19.530277,11.623001,16.471378,26.4513,27.549936,13.531717,12.250516,34.432854,32.2307,22.669357,27.010426,26.197844,27.157484,27.015984,16.547552,30.687054,33.02796,22.12081,19.762827,25.438608,30.111015,25.75826,23.869259,12.767836,15.4631405,35.84254,31.862545,12.793483,23.151825,31.46441,26.879526,12.986651,20.49365,25.980639,31.784962,14.110748,25.961287,30.713554,25.517595,25.574318,28.36601,11.234581,18.473505,26.594715,29.210876,26.519953,13.566355,22.219347,37.52643,37.99928,13.502949,9.49714
AGO,ssp3,rx1dayETCCDI,33.931873,32.80502,35.962772,32.637104,31.71692,34.72334,34.745922,34.52753,34.037193,32.404057,33.8708,33.728466,32.69771,34.14925,34.31597,33.078537,34.651073,35.499306,33.261147,32.390568,33.31896,33.013084,34.403107,35.673443,34.79775,34.412563,37.578766,34.310932,37.11733,36.939125,35.92262,35.58162,34.952972,36.033936,34.719578,35.04921,32.768677,33.730366,35.362766,35.23508,39.251625,34.488396,40.59264,36.431976,35.08282,37.329933,39.46017,35.43884,37.588707,35.076637,36.947308,39.543915,38.021885,35.18367,35.76528,34.45683,35.156113,39.249912,36.909473,40.68202,41.42832,37.009808,36.118706,38.86325,38.72872,40.36607,36.42462,37.84499,43.185375,38.613956,40.85833,39.627937,38.077534,43.776768,36.816944,37.984726,41.613075,36.422462,38.219208,40.709465,42.11835,37.899868,42.352047,43.799572,36.607777,37.465687
ALB,ssp3,rx1dayETCCDI,53.261745,41.159878,41.422955,50.723885,46.139347,40.730186,40.758423,38.584797,36.508587,48.53854,49.528297,47.161926,55.833576,44.04532,43.367157,62.90923,42.239216,35.489784,41.447845,38.94623,40.995274,40.69439,93.51947,34.37317,44.064278,51.099537,52.92397,34.512882,38.887737,44.100338,35.47778,37.235466,37.148834,36.826603,44.093967,57.743412,45.214897,36.522083,42.529034,53.154213,34.242786,44.090748,55.29701,31.72875,51.713596,43.90276,52.41611,32.3307,37.119926,38.495075,57.09239,50.830006,73.580086,36.95477,60.043976,45.467434,47.038147,39.248833,44.424274,29.872065,48.98402,42.008343,59.318096,45.371098,42.132534,47.171673,68.606,76.55469,55.29725,42.635284,34.326942,78.45991,42.24267,48.703823,57.989834,39.640644,51.090523,36.99487,37.97835,45.153553,36.303898,47.330624,25.535873,41.778893,39.74829,45.1489
ARE,ssp3,rx1dayETCCDI,7.850634,5.255379,6.115353,22.21654,3.457666,12.720298,4.9622893,8.763917,9.175235,9.191325,7.1388135,14.960525,10.423246,2.8583531,13.853797,15.715169,7.163601,4.0068364,5.975842,3.363548,1.4792637,3.183723,4.416011,13.68003,17.404156,1.2155846,6.031747,10.623555,6.029763,7.374839,14.493408,31.38165,12.984564,56.518974,5.446991,2.417131,0.8735203,61.114788,7.510419,0.71615285,1.73246,21.199574,26.144262,3.8531728,2.077353,28.251627,6.1986165,23.945913,0.28656754,14.42994,8.93916,8.625173,5.011514,16.860004,33.158825,28.169401,12.099541,18.051151,3.090797,50.27017,26.266344,1.6046841,7.6803946,22.51511,1.046846,0.5272266,2.3607032,32.267223,42.308468,0.2176989,4.6755333,27.597334,3.0159087,34.240314,34.53934,20.5239,2.5319176,2.6280463,9.829772,27.235605,2.7191384,15.848335,77.75271,23.92488,1.1527216,0.4870673
ARG,ssp3,rx1dayETCCDI,46.15628,45.38735,47.05975,47.249302,47.06034,42.9132,43.345226,48.136234,49.451744,43.451447,45.062794,47.046658,55.762302,42.569046,48.843895,50.393143,46.586075,47.218925,49.665794,48.981762,44.29155,46.516483,42.924297,48.28645,50.2429,51.328087,45.86252,50.86753,51.28445,47.16994,46.922413,48.206657,49.72574,50.140434,43.774765,47.926212,49.10176,47.08318,50.894905,46.219753,44.992004,53.549747,56.015335,43.973675,49.656876,49.56442,49.92079,56.04892,50.805473,55.131004,53.021027,56.115543,54.483856,47.29007,52.4486,52.78635,51.88163,56.071136,49.472702,51.227306,60.185566,50.227,52.758068,59.631817,59.728016,54.118256,50.13008,57.47671,58.66941,48.276535,58.675476,56.346622,49.35079,57.382065,65.12885,52.04688,57.49019,56.192917,56.79401,61.278114,51.921368,56.37991,63.896774,73.68518,53.243114,52.75081
ARM,ssp3,rx1dayETCCDI,27.578094,24.236609,26.680498,32.909027,27.949127,24.643312,20.869389,23.334345,32.885674,24.323214,26.783518,29.616241,22.99373,21.94033,23.743143,27.406618,23.382349,23.44459,24.943857,28.144928,18.87035,22.777481,22.56941,26.53286,23.226427,24.2964,17.626612,27.52405,24.292524,20.104465,26.44235,30.323385,27.492002,24.2237,23.912386,26.01385,25.962479,25.825478,24.607721,24.595953,27.242777,26.948517,27.649984,22.449745,23.500132,28.845465,23.374685,27.845953,28.925493,25.147654,26.175787,35.51749,28.415598,23.094324,23.922724,21.683601,38.783787,27.490316,23.924604,25.856325,29.640265,28.852503,26.417427,26.293177,30.48629,23.67235,24.634918,34.26357,33.47429,17.587553,29.42628,26.738348,41.58089,26.488985,31.086073,25.171114,20.937853,26.499529,30.51287,29.133018,24.782187,23.136423,26.392782,26.767996,25.882967,23.695776
ATA,ssp3,rx1dayETCCDI,7.2752414,8.134445,7.1839285,8.191654,8.2765,7.905043,8.368182,7.870579,8.780467,8.685169,8.666577,9.488023,8.810055,8.150487,9.3486595,9.3524475,8.283726,7.5249777,7.8415794,7.889811,9.1752405,8.144388,9.049793,8.581344,8.415656,8.28678,8.177814,10.430471,8.572132,7.847931,8.669563,8.688561,9.431836,7.8067846,8.659192,9.534559,8.776428,8.772992,8.2892,9.117566,9.126808,8.805598,8.412587,8.50068,8.796006,8.48938,8.915771,9.141544,7.9955645,8.477064,8.694148,9.443504,8.911853,9.788567,8.927025,10.427676,9.391264,9.309748,9.292519,9.518113,9.467873,9.329197,9.559846,9.419351,8.743879,8.92922,9.487225,9.677918,10.552076,10.128139,10.398172,9.053023,10.744524,9.430411,9.346251,10.578732,8.922213,10.579964,10.455325,9.483516,8.933066,8.913,11.208733,11.957555,9.44323,9.44497
ATF,ssp3,rx1dayETCCDI,30.121082,24.730595,30.776165,30.308472,41.14656,32.22664,33.41231,31.068348,30.015654,29.108744,34.34539,33.890205,37.036648,24.732334,29.30046,37.628693,43.435493,35.352543,22.872574,38.458965,25.608234,25.065815,56.88277,38.23991,30.076504,28.8666,33.918312,28.910482,65.58238,32.743805,49.38806,23.369417,28.090813,24.203793,43.31491,28.34953,31.87435,30.083511,50.95265,25.2776,55.521893,40.667297,43.90903,34.423283,43.49552,35.545254,36.26486,43.245823,48.423615,33.544563,35.77884,39.64129,31.9514,46.97502,31.97716,47.992664,28.853521,45.388615,32.94028,47.642418,49.24489,32.041897,43.31548,40.92398,48.44556,36.551876,39.10727,28.619558,43.37162,35.35994,31.087406,33.74942,34.821377,37.041588,36.843254,28.827084,40.436954,31.237976,33.97275,38.207836,50.16278,31.278084,33.247215,49.0172,39.127823,28.812683
AUS,ssp3,rx1dayETCCDI,42.385178,45.92135,40.850677,38.454468,43.34851,44.937313,44.192974,43.075863,43.390682,50.517784,41.03053,37.231224,46.349144,43.926666,40.341805,34.960514,42.256927,40.083412,38.200752,43.7942,41.85553,33.222237,40.755554,43.743782,37.999283,46.273624,43.39349,51.3585,41.582336,44.627903,39.481117,39.527126,42.820652,33.886257,41.799267,40.064114,41.036366,43.696545,45.836895,50.99788,48.185738,42.84844,43.039837,42.479107,47.199093,50.86709,45.304714,43.78505,44.759228,40.190216,36.441895,51.771553,39.680813,44.60234,46.81453,43.89055,49.93397,51.91159,48.974808,44.3129,41.918957,60.526463,45.365894,44.79449,57.10061,51.986347,41.09875,42.48034,57.74766,49.938324,47.68745,41.332592,44.13929,46.760384,53.192524,67.745865,50.879333,53.62473,44.474316,58.724503,66.05378,54.119347,51.840233,51.680668,66.567245,58.82335
