iso_a3,SSP,variable,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
-99,ssp1,tx90pETCCDI,28.164682,27.40281,35.689598,25.987831,27.757828,27.16234,33.47617,30.559517,30.96413,26.851892,24.711283,27.367401,22.823336,27.531605,27.340525,29.75402,29.017954,23.921621,28.390879,35.491768,34.980404,31.514568,28.120638,31.026838,34.741516,32.84868,37.970963,32.178715,36.915382,39.08965,38.672688,36.9542,35.02445,35.094772,32.41387,31.3777,35.611958,30.107502,37.595463,33.912132,30.687918,33.69068,34.29958,28.200514,28.552874,29.712183,30.078758,32.063755,32.76399,35.082115,33.568733,33.367924,42.114143,39.075504,33.16263,37.016907,42.23881,35.365765,29.469599,38.301666,39.55657,42.514256,40.820423,40.33743,36.60931,36.359642,35.85906,32.373558,29.482288,22.988045,24.183495,29.172483,28.61558,28.556007,27.170319,31.644955,26.63133,29.803757,32.2892,28.997051,30.941734,32.366253,35.147625,30.993244,31.122393,26.261805
AFG,ssp1,tx90pETCCDI,27.953636,20.226988,22.82824,18.665964,18.18546,23.230349,25.395153,22.998947,23.513172,17.440102,18.373024,20.339304,36.219177,32.925602,24.849314,31.624868,25.763964,27.366539,29.787146,40.00632,29.433086,21.834805,32.219177,28.868282,39.61433,26.738125,36.83035,43.12118,20.659641,36.04876,32.699684,36.967335,44.404636,43.58344,29.987356,23.057955,29.203373,42.34132,45.251842,36.628033,51.964172,25.437159,29.125395,31.17176,34.5922,46.50063,33.888306,45.47313,29.43941,25.527533,30.408852,33.173866,29.359325,44.777218,33.2961,30.973658,52.961014,42.440098,35.24131,29.620655,22.314016,40.998318,48.07376,35.30453,27.45627,35.42455,41.253952,22.914646,40.743942,50.40143,39.397263,37.494205,34.290833,24.619587,27.289778,36.381454,28.469969,35.325768,32.809273,37.502632,16.979979,28.11055,28.7039,31.74078,24.958904,34.28451
AGO,ssp1,tx90pETCCDI,12.614208,17.951454,11.950303,20.860147,21.692259,15.303088,20.437082,14.81491,24.708506,25.245901,15.701816,22.737177,12.160561,36.2168,22.61612,20.470213,17.882128,29.744568,40.97738,17.391525,28.351704,41.392807,41.215675,16.006372,31.884039,50.35964,22.18796,26.17139,37.456516,43.511246,34.45938,43.383244,34.073273,31.266996,28.694489,40.173306,36.900925,23.283772,27.114367,37.90124,22.869703,32.49714,40.762028,23.93501,42.807262,49.886894,21.000319,24.123606,36.545395,42.49714,28.109589,39.262188,41.510033,18.943958,33.784008,41.650208,32.06626,20.210953,37.880856,52.335136,50.463203,31.765156,28.161835,37.15196,45.913986,25.033676,29.891047,51.766808,48.026756,23.306644,26.01083,28.516088,31.784645,37.86885,26.967823,36.161835,53.099712,40.33549,37.827335,41.18891,47.11182,31.105604,36.417965,37.502388,45.11373,52.366997
ALB,ssp1,tx90pETCCDI,14.755382,9.758001,29.080235,13.307241,29.393345,23.92662,15.029353,33.73777,41.369865,21.935987,27.318983,33.150684,29.510763,21.623732,20.39139,27.475538,34.79452,23.419205,16.007828,12.21135,18.669277,14.363778,36.20352,45.048923,38.630135,36.416862,28.727983,31.545988,30.450098,37.15847,55.342464,23.7182,29.784735,31.10851,35.381603,43.99217,32.407047,44.301327,27.553816,31.780823,19.726028,33.723656,25.87084,36.868885,19.060665,33.957848,36.360077,46.497066,38.982388,36.104607,49.902153,31.976517,37.76908,31.850117,29.510763,40.078278,24.383562,40.124905,17.260275,41.83953,36.086105,25.722092,21.448141,29.393345,35.10763,33.216236,32.36791,23.757338,27.39726,27.82982,26.183954,40.82192,31.585127,21.311476,40.234833,35.068493,20.117416,29.352068,21.761251,20.978474,35.49902,29.508196,19.960861,41.87867,12.798434,28.336596
ARE,ssp1,tx90pETCCDI,21.819962,27.010149,23.561644,17.338552,22.778866,26.190475,20.7045,24.716244,20.919765,23.126465,28.19961,42.857143,36.027397,35.16784,33.933464,42.211353,24.207438,27.517565,37.338554,38.532288,31.11546,43.911007,33.855186,38.94325,35.694714,45.140514,32.66145,46.30137,44.598824,40.320065,32.563602,35.20548,51.74168,38.91491,47.103718,45.792564,45.20548,43.20843,38.630135,44.6771,56.497066,40.066353,39.275932,37.84736,43.953033,50.42935,37.925636,33.581215,43.757336,38.32943,35.870842,43.28767,38.297455,37.11944,48.96282,46.164387,47.76908,41.17877,46.027397,52.446186,38.708412,50.292744,44.774952,40.606655,47.553814,33.8993,48.806263,50.939335,42.0548,45.51132,51.976513,36.555775,47.964775,39.968777,43.28767,39.060665,44.207436,55.347385,41.87867,39.530334,34.422703,42.798595,42.759296,39.843445,30.195694,38.806263
ARG,ssp1,tx90pETCCDI,9.274264,6.3703833,12.316623,11.831828,13.090449,20.02335,9.91402,10.658215,11.812882,14.038581,12.874283,11.426212,13.944914,8.275685,11.547654,21.875547,18.11911,13.528466,11.4228115,17.857769,15.768484,11.213327,14.028466,17.516273,11.176528,13.511995,17.933546,19.660448,19.617702,14.189241,16.109493,14.444283,15.8398905,15.9579315,13.658797,14.216943,14.986884,15.977794,19.181969,15.90207,15.771884,14.916387,13.736033,16.394152,12.782959,12.223869,12.833964,16.724958,23.08025,14.996802,16.574371,21.105122,16.690954,14.006607,23.41397,14.435539,16.62052,15.549548,17.047993,13.731663,14.624017,11.458939,16.795881,18.85262,11.5938015,18.136457,15.678616,16.336344,16.866802,15.115491,16.302828,13.670456,19.285437,14.731329,15.408044,18.45866,16.687555,16.263128,14.271349,22.285534,18.241037,13.167073,12.5765085,13.121539,12.169921,17.87914
ARM,ssp1,tx90pETCCDI,15.296803,12.340619,22.785387,16.210047,16.30137,19.899817,17.534246,32.876713,31.96347,11.202186,31.643837,46.438354,30.045662,23.041895,26.894976,28.584475,32.60274,18.943533,17.534246,13.470319,26.164383,16.120218,25.525114,38.127853,37.21461,28.7796,16.803652,38.812786,32.876713,36.885246,23.424658,27.899544,21.96347,24.225866,29.771688,24.703196,29.360731,42.62295,32.054794,19.086758,33.51598,21.812386,25.068495,33.88128,35.525112,20.673952,29.178083,37.716892,27.990868,12.386157,29.132421,45.02283,22.60274,26.593805,30.593607,20.821917,39.497715,30.510017,30.456621,26.210047,18.356165,32.923496,35.84475,18.858446,28.356165,32.969036,26.484018,30.41096,46.392696,55.100178,52.42009,38.082195,20.091324,24.13479,23.24201,9.452055,24.840181,21.2204,32.511417,20.182648,12.922375,24.81785,25.6621,21.324202,18.767122,28.447489
ATA,ssp1,tx90pETCCDI,11.016392,14.648813,14.671094,13.62095,11.743139,15.111631,11.100933,11.828657,12.603035,12.984711,15.546434,13.88352,17.142593,15.964488,16.15757,14.325982,11.482477,14.953818,15.522518,12.021724,13.454775,14.926726,19.68537,20.49198,18.10586,15.246818,16.38205,13.746489,13.22991,16.909245,20.082155,22.033693,20.465336,16.568087,18.470005,16.81195,16.698746,15.61144,15.99235,18.232534,18.896706,17.296562,18.226334,16.95725,12.722395,18.227139,14.172937,18.602358,14.666438,15.157184,13.709534,20.011152,14.418564,18.191689,14.7004175,15.952623,15.431821,16.210848,13.015333,13.87548,14.137595,17.883081,19.197844,13.532684,24.651037,19.41406,13.600688,21.451246,21.060297,20.77112,12.531895,16.755371,17.580423,16.912708,22.17779,15.3967285,19.208677,18.74142,18.706522,20.55317,17.63866,16.714212,16.730864,21.647947,18.445974,17.868614
ATF,ssp1,tx90pETCCDI,16.301369,5.259563,20.205479,12.123287,18.013699,12.090164,7.39726,10.0,7.1232877,15.368853,13.287672,13.767123,11.164384,20.491802,13.493151,13.219178,18.49315,16.59836,16.438356,13.69863,17.80822,18.647541,29.041096,33.42466,36.91781,13.6612015,15.616438,46.027397,41.09589,36.885246,32.260273,33.150684,25.753426,26.297813,16.50685,31.643835,28.013699,21.721312,21.575342,39.041096,51.50685,30.396175,18.767122,30.479452,20.547945,16.325136,22.123287,23.424658,13.90411,25.068306,12.123287,16.917809,31.643835,39.20765,28.835617,20.342466,14.657534,36.202187,45.068493,39.452053,51.369865,18.579235,18.972603,35.27397,31.780823,44.603825,51.849316,37.53425,39.041096,33.06011,34.041096,54.315067,38.69863,27.937159,27.876713,39.863014,25.616438,32.786884,30.342466,31.164383,44.65753,42.62295,36.232876,31.986301,35.136986,26.09589
AUS,ssp1,tx90pETCCDI,14.021179,9.3717785,11.761196,19.319925,21.232489,12.999263,16.303896,13.281841,19.011757,16.493818,17.649858,10.7807255,9.246478,19.719799,12.61537,8.302536,16.408434,14.8132,20.002914,11.6232395,19.810162,26.746502,25.802973,19.392597,13.721558,26.64322,11.626737,18.421257,17.0034,20.317793,17.70815,29.443312,31.765081,33.128513,15.596814,16.812786,25.390072,14.543851,13.171087,18.673273,11.914893,12.245862,21.129505,15.061692,21.32459,25.791964,12.829107,18.351112,19.74507,22.73069,12.763237,12.227533,22.668999,17.206333,16.368988,27.03993,18.48324,13.032787,24.854172,35.78937,24.879238,29.1189,23.963276,23.048092,24.226368,16.134363,20.729233,29.117266,29.977848,8.140719,15.598756,24.63441,22.886621,25.095144,14.113086,15.687943,30.17507,26.041157,18.076557,28.59555,21.311766,12.219316,22.34062,25.643642,25.433985,17.994755
AUT,ssp1,tx90pETCCDI,14.390084,13.166798,31.011091,20.0,25.466408,30.627115,10.984997,22.87019,33.046314,16.432474,15.825179,21.969994,23.157207,18.696331,11.545988,24.044357,31.637312,13.257872,21.369864,21.578604,24.370516,20.856102,24.031311,33.398567,34.572735,28.80562,25.009787,28.114807,33.73777,31.654957,45.923027,21.643837,20.430529,29.79443,30.136986,32.446186,31.376387,31.602915,26.34051,24.266146,17.077625,26.736923,19.25636,22.087412,21.539465,28.961748,37.990868,34.89889,25.76647,30.731197,36.71233,28.806263,40.1696,26.945095,21.461187,32.667973,31.167646,40.970596,14.194389,37.834312,34.651012,26.932085,27.11024,31.637312,19.934769,25.448868,31.637312,19.543379,20.39139,17.824615,13.411611,30.645792,23.1833,17.382254,21.839529,26.718851,17.72994,24.980484,16.216568,21.148075,21.435095,16.848816,22.857143,37.80822,10.4240055,15.172863
AZE,ssp1,tx90pETCCDI,22.656343,10.869565,23.549732,14.53246,18.880285,21.287718,14.98511,31.697437,25.122097,15.24115,33.460392,39.952354,30.720667,26.752197,28.17153,31.649792,27.802265,20.71751,23.34723,14.580108,25.086363,19.458303,27.90947,34.98511,38.237045,32.406746,16.14056,43.251934,31.351995,32.430508,27.421083,30.649197,26.527695,25.540508,25.193567,24.026205,27.135199,36.17249,31.459202,27.182848,35.43776,21.358994,24.38356,30.827873,39.297203,20.38489,28.195354,40.476475,26.039309,16.80922,29.803453,43.656937,25.241213,30.743645,35.020844,24.943419,36.66468,34.105488,35.664085,24.991064,17.069685,26.0038,35.747467,24.05003,29.91066,28.74792,30.10125,30.99464,40.547943,45.842243,50.33949,31.149494,27.45682,28.142076,23.442526,12.555092,26.206076,17.557615,34.556282,22.918404,18.558666,29.116179,27.075642,22.04884,22.370459,29.493746
BDI,ssp1,tx90pETCCDI,19.835615,33.825138,14.246576,21.205479,19.780823,28.96175,16.0,15.890411,17.972603,26.065573,18.465754,37.42466,10.79452,40.21858,22.356165,21.643835,11.232877,37.15847,25.69863,19.835617,43.945206,38.14208,23.232876,28.164383,31.726025,50.10929,21.972603,20.383562,47.452053,49.562843,34.739723,40.328766,35.835617,26.885244,25.041096,44.767124,46.027397,36.174862,25.205479,42.57534,19.890411,30.765026,29.150684,37.369865,47.0137,48.032787,23.178082,41.31507,43.72603,40.765026,31.726028,49.589043,45.260273,25.027323,35.835617,37.643837,28.0,30.655737,59.835613,47.28767,24.219177,35.57377,30.465754,45.53425,35.945206,42.349724,32.10959,51.34247,30.849316,22.349728,25.643835,28.219177,51.835613,28.524591,24.383562,42.30137,41.753426,40.382515,35.232876,53.31507,53.095894,29.016394,19.780823,39.342464,34.30137,51.726025
