iso_a3,SSP,variable,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
-99,ssp2,tx90pETCCDI,29.590532,27.32985,27.003098,18.667463,26.27599,17.61588,24.293232,21.84465,27.786945,27.559893,27.284536,29.156061,21.920048,28.490492,23.793064,19.185547,22.93606,25.336876,26.406628,27.846664,24.719496,26.070934,22.420214,20.897316,28.655146,27.412487,32.934196,39.958942,31.531485,30.761158,27.95267,32.475086,33.94871,42.99147,41.69385,49.267292,44.264866,43.811886,36.919117,41.843903,36.250233,31.231667,41.989475,42.214924,30.323618,37.566444,37.3088,32.25038,39.621513,38.373463,38.711506,36.09645,42.830803,35.97251,41.328804,38.73689,45.492146,33.107758,40.357582,44.974808,41.602776,46.84713,43.73036,47.005337,46.511143,38.38165,42.07532,43.341423,40.983166,40.250294,38.50771,50.34527,53.348515,47.56704,43.12493,43.673622,47.65257,45.34849,51.28812,54.43246,45.584713,57.317493,49.416595,49.485275,57.839573,54.52503
AFG,ssp2,tx90pETCCDI,17.894625,11.998739,21.51528,16.402529,22.035828,33.453133,30.400423,18.056902,13.18019,34.57545,17.049524,24.708113,26.501581,39.932743,17.496311,31.953636,24.889357,20.855402,36.77766,15.108536,18.440464,34.197144,38.28451,26.600634,25.216017,32.980244,28.821918,22.28451,37.45627,38.614964,39.192833,22.086407,27.551105,33.30601,43.94099,26.971548,29.599579,44.33796,42.63646,38.037937,36.680717,36.357716,51.650158,34.621704,39.911488,47.278267,38.035828,48.77766,33.02424,40.409836,33.449947,50.432034,45.894627,48.930225,43.182297,37.243416,45.62487,50.617905,58.66807,37.719704,59.161224,51.204285,44.83035,51.72181,32.800842,29.859186,53.08535,44.04215,50.811382,58.67171,48.891468,58.153847,47.804005,51.603615,46.499474,43.188618,49.544785,48.959644,49.11275,61.694416,53.49631,47.09332,60.741833,66.0,50.748158,59.443626
AGO,ssp2,tx90pETCCDI,20.028034,19.379845,26.521822,25.912712,34.84422,20.543907,18.95763,14.821281,22.328129,18.028975,32.495697,29.552088,14.03122,18.661839,36.242115,20.958267,22.64925,31.894777,28.166933,29.643837,39.38197,13.808617,25.312521,34.29882,33.608154,23.76922,28.605288,49.121376,23.257088,24.023382,25.135393,32.522457,43.63683,21.437286,30.18286,51.734947,33.30615,23.243105,36.09302,47.195923,24.821918,37.92985,48.400127,36.48168,47.510674,57.509212,47.232876,44.110867,58.766487,50.444782,42.77923,65.28703,50.368908,42.734783,46.64288,51.66996,53.00669,46.074467,54.887547,71.07359,43.19465,46.09607,59.311882,32.34788,50.676014,62.387848,55.76171,50.985664,49.45906,64.01067,70.193054,72.46257,44.519913,43.164318,64.10322,62.914303,52.4906,62.237896,68.13762,48.012745,54.97292,67.91079,59.5094,50.854412,58.783054,57.90634
ALB,ssp2,tx90pETCCDI,26.7319,16.35441,33.502937,25.792562,30.019571,25.448868,16.67319,19.373777,27.632093,32.27947,18.395304,32.837574,29.745596,48.59485,29.980429,29.941294,20.039139,32.12334,27.514677,31.937378,33.69863,40.671352,21.526419,33.111546,38.16047,25.761124,31.8591,34.598824,37.260277,28.4153,19.491194,27.358122,38.08219,48.672913,34.8728,38.982388,38.08219,50.42935,38.708412,51.898235,50.958904,35.59719,27.39726,49.23679,40.391388,26.893053,34.48141,32.68102,35.18591,33.09914,51.663403,29.62818,36.086105,51.40515,38.669277,38.747555,35.772995,53.825134,27.82779,29.158512,46.810177,52.810303,28.53229,43.40509,56.164387,33.333332,36.75147,46.379646,38.94325,42.97424,40.900196,54.520546,65.440315,48.868073,40.273975,42.70059,35.068493,46.37002,49.197655,53.855186,38.003914,61.24122,48.8454,45.16634,41.52642,49.902153
ARE,ssp2,tx90pETCCDI,16.007828,20.472288,21.428572,16.966732,31.585127,31.92818,22.99413,20.528376,30.645794,40.456673,28.825832,37.182,29.62818,27.34192,31.135029,37.534245,38.806263,31.381733,39.843445,38.88454,31.604696,31.615925,36.007828,38.708412,38.90411,47.42389,41.663403,43.228966,33.7182,41.530056,56.477497,44.54012,37.964775,41.920376,49.56947,35.088062,39.37378,54.410618,58.043053,51.38943,46.9863,55.581577,61.819965,37.08415,52.113503,56.04996,62.270058,58.96282,58.649708,60.226383,55.753426,59.647747,55.89041,63.36846,63.972603,68.76713,65.24461,58.333336,71.8591,60.82192,65.89041,58.255272,64.44227,65.90998,61.05675,62.35363,61.291584,62.035225,66.32094,71.11632,63.542076,65.00978,59.23679,67.60343,70.99804,72.60274,67.49511,64.48087,73.99217,78.64971,71.50685,56.81109,72.328766,71.369865,60.880627,61.74168
ARG,ssp2,tx90pETCCDI,11.30137,8.945664,23.798698,10.255028,10.048091,10.625702,12.167493,8.018557,14.012436,13.55947,13.1798315,10.485281,16.31643,16.319807,10.476538,19.025064,14.100845,15.058327,19.090158,13.536384,15.938016,17.403984,19.30341,13.328476,12.078597,16.029144,14.693967,16.777422,17.901972,19.504517,16.072575,14.336442,18.584475,16.977192,18.998835,13.277956,17.039736,22.308937,11.561255,14.699796,16.955698,22.729916,16.27271,19.30584,20.654327,15.2114105,18.769066,20.958904,19.421452,18.6301,19.69931,18.433401,21.970757,26.351103,19.181969,19.842125,24.808123,24.97384,20.054405,20.41533,28.11911,16.509708,20.782085,22.983095,16.695812,20.941847,24.539494,24.823181,24.146994,26.108398,20.763624,23.384825,22.77373,31.068577,26.072575,16.040028,29.057125,24.863873,18.366365,24.113476,25.253084,17.672363,23.490236,30.19625,20.188478,25.533373
ARM,ssp2,tx90pETCCDI,27.260275,15.118398,16.30137,21.232878,21.369864,31.375229,17.945206,19.726027,30.41096,28.4153,14.566211,28.127853,45.844746,30.555555,21.461187,19.497717,23.013697,30.46448,36.11872,30.82192,22.968039,37.204006,34.10959,23.515982,34.840183,40.98361,21.324202,8.675799,16.118721,18.806921,46.94064,19.041096,17.945206,19.444445,24.611872,17.80822,24.200912,36.65756,22.511415,29.863014,46.575344,29.96357,26.34703,28.356165,32.922375,30.601091,37.671234,36.48402,30.639269,22.176683,36.48402,28.49315,23.150686,38.70674,45.89041,32.37443,47.62557,40.118397,27.260275,24.520548,34.611874,37.15847,42.55708,38.03653,35.844746,21.857924,36.027397,22.694063,51.3242,33.19672,44.931507,21.27854,32.83105,36.247723,34.474888,28.03653,44.566208,50.227688,47.808216,58.995434,46.301373,33.469944,57.123287,59.680363,32.78539,28.401825
ATA,ssp2,tx90pETCCDI,7.826118,16.017561,13.583653,11.766581,16.13497,14.519245,15.22808,14.187951,10.471854,12.544206,11.49547,15.121439,16.598965,13.765332,15.692438,14.140866,13.54177,11.071418,13.319833,13.342911,13.554807,14.502144,15.195417,14.263838,14.055894,11.866672,13.113004,13.221121,14.925306,13.426055,19.08189,14.72329,20.593826,17.434898,15.662797,18.414402,18.323435,18.183239,22.260557,20.389267,17.756817,18.602634,22.068422,15.655278,18.8394,21.182022,22.17822,19.439154,21.170572,23.215075,15.44177,21.44423,20.210419,22.133207,19.236479,21.273056,23.406351,22.464874,20.459112,20.53652,21.313396,21.9922,22.695911,20.097486,16.351885,21.256636,25.696049,19.106012,22.036852,17.732428,16.998043,24.698374,22.801893,24.494394,25.506006,25.093864,25.391369,19.440926,26.382822,22.015001,23.89481,23.556751,20.896124,19.112553,22.394386,25.72994
ATF,ssp2,tx90pETCCDI,16.30137,21.92623,13.356164,16.575342,10.2739725,7.035519,14.452055,11.712329,16.438356,19.945354,26.50685,14.109589,15.2739725,8.401639,16.986301,14.178082,29.657534,35.928963,23.698631,39.863014,18.082191,10.177595,20.753424,26.643835,28.767124,23.97541,39.246574,19.58904,19.109589,27.185791,27.534246,20.821918,16.575342,30.601093,18.835617,22.19178,30.205479,31.625683,20.273972,36.91781,38.219177,30.737705,52.123287,36.780823,24.31507,25.546448,28.424658,58.150684,46.643837,51.84426,50.27397,45.753426,27.876713,33.811474,50.27397,38.90411,30.753426,46.857925,56.438354,43.69863,34.246574,27.04918,57.876713,57.671234,52.46575,56.8306,40.958904,61.9863,56.369865,58.60656,69.38356,55.136986,42.60274,55.054646,50.61644,50.27397,56.438354,64.00273,45.753426,50.27397,51.027397,66.12022,58.219177,70.821915,55.410957,62.054794
AUS,ssp2,tx90pETCCDI,9.191101,14.31849,14.712912,14.544252,12.606821,7.959733,7.3327503,18.448072,14.145925,10.214122,19.83892,12.912853,11.843,11.881177,29.514235,19.740406,15.634704,29.11464,19.416885,17.213835,16.438745,14.149324,13.735743,18.841738,27.629457,16.357788,19.540854,21.476343,9.386962,12.687672,14.779753,12.352083,15.789761,8.157385,20.384146,35.36559,27.911007,15.485214,23.161177,39.66657,15.9794035,26.620743,30.438938,21.022444,25.042068,32.353214,28.757603,24.127272,43.329445,28.58369,24.715633,46.906246,32.167297,23.74472,26.378899,28.369574,38.892258,32.635548,33.78976,38.40163,20.181677,32.534588,38.46692,23.25697,30.597492,41.107044,41.39862,23.299135,23.9693,33.655,28.116972,38.590496,26.2355,24.274311,35.542408,47.60575,28.766735,28.0479,51.43612,25.572329,35.23268,43.589893,22.190615,34.15836,45.06208,36.156807
