ISO3,year,government_effectiveness,control_of_corruption,gdp_per_capita_log,urban_share,median_age,life_expectancy,locc
ARG,2020,0.542362181,0.451329544,10.016519227558485,92.1,31.9,76.85,3.5
ARG,2021,0.535291966,0.4122917,10.177334646293044,92.0292776175651,31.403,73.9865,3.4
ARG,2022,0.53451823,0.409679996,10.302559177377985,92.112838186126,31.739,75.7835,3.5
ARG,2023,0.525357627,0.4068773729999999,10.316308794124684,92.1945132257907,32.122,77.34,3.6
ARG,2024,0.549132764,0.412619998,10.323223450875885,92.2742315972952,,77.49805,3.6
ARG,2025,,,10.068794249182051,93.347,33.5,79.05000000000001,4.0
ARM,2015,0.471517644,0.307673166,9.185723943440658,63.1,33.3,74.65,5.2916287759584
ARM,2016,0.492870403,0.361010481,9.265800815656416,64.5928753345316,33.067,74.94999999999999,5.0
ARM,2017,0.511345469,0.364364948,9.398147216151475,64.7124948593667,33.445,75.30000000000001,4.9
ARM,2018,0.479754653,0.445303761,9.463236396435184,64.8502833795679,33.938,75.7,4.9
ARM,2019,0.46417589,0.467952054,9.614187769216471,65.0047033570428,34.525,76.3,4.8
ARM,2020,0.447767568,0.499924934,9.596032429046057,63.3,34.9,73.85,4.8
ARM,2021,0.444308943,0.489851107,9.675438569363154,65.3572875314441,35.527,72.4,4.6
ARM,2022,0.449105336,0.490185983,9.860651554783615,65.5624462874485,35.815,74.85,4.5
