iso_a3,SSP,variable,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
-99,ssp1,tn90pETCCDI,29.36658,27.872576,35.909073,27.793663,28.185585,28.597698,34.94457,31.863686,34.886345,29.620611,25.360756,30.154156,28.567055,33.436817,28.577507,33.367176,28.603636,27.280712,32.31309,35.609722,36.262177,34.475365,30.984285,34.525024,37.731327,39.616745,38.52637,32.342953,40.57482,44.81321,41.861073,39.973125,36.701878,35.90774,34.442165,35.16554,38.57788,32.703503,36.701878,35.7426,32.106304,35.741726,36.348774,29.386734,29.967525,31.23911,30.26091,32.21828,34.993095,38.85514,34.790043,36.019558,45.11963,39.875076,38.927998,42.182823,43.563137,34.951088,32.722183,44.301445,43.548206,44.1536,41.72819,43.704975,41.09365,38.022808,37.624573,34.73629,34.130863,24.721193,25.791498,29.763727,30.572954,30.770836,27.819792,37.311783,30.68344,32.62087,33.214886,30.083237,33.568733,35.222824,37.99933,33.702366,37.549175,28.171402
AFG,ssp1,tn90pETCCDI,22.029505,21.61202,19.612225,24.765017,24.208641,26.69609,24.986301,23.152792,27.015806,21.227406,18.322445,21.420443,32.93783,32.532578,25.047419,27.258165,25.199158,30.380413,29.68177,33.253952,25.258167,30.979403,34.033722,27.449947,44.305584,33.570827,30.145416,37.37408,24.661749,35.981506,32.88725,39.997894,47.194942,39.754097,29.502634,32.729187,27.603794,32.402267,38.933613,35.049526,42.90411,27.732239,33.308746,30.87882,34.984196,46.24212,24.902002,36.866173,33.142254,32.501053,30.96312,39.41201,31.277134,37.22362,37.62908,32.314014,40.029503,34.476673,35.981033,36.421497,28.547945,36.223206,34.908325,42.214966,33.251842,28.07272,34.71444,29.462591,43.001057,36.92728,35.003162,27.32982,38.851425,24.285414,24.248684,37.603794,29.43941,33.125263,30.516333,38.712326,23.119074,32.14166,30.451,34.537407,28.817701,38.18757
AGO,ssp1,tn90pETCCDI,24.002548,22.00915,17.49347,30.03759,38.384197,22.269665,26.780502,25.090794,30.636507,36.54594,35.21886,38.32176,28.900925,46.43919,42.293724,26.500158,33.7547,37.510483,56.34533,31.170437,37.717743,60.625237,49.46671,31.887863,39.970688,61.861736,32.328766,32.298183,54.730804,61.613926,54.979294,64.6244,56.466393,46.284153,47.425297,66.25167,52.999046,37.66171,47.99745,54.056705,33.02198,51.70161,59.371777,44.606564,57.05002,59.029102,32.284164,35.977062,52.21536,53.51379,43.630455,53.6604,58.195602,35.49244,55.52851,63.353935,47.030266,37.35163,51.612614,59.407455,62.038868,50.490536,41.201656,60.860146,56.198788,39.62765,41.934376,67.99618,51.99873,28.211971,44.10832,39.565468,54.551132,51.45762,39.683975,49.65403,63.216312,51.203457,58.436447,61.206753,63.271107,48.809254,44.485504,52.121056,62.97037,57.24498
ALB,ssp1,tn90pETCCDI,17.455969,11.826698,32.407047,13.150685,30.41096,26.814987,14.951076,35.655575,42.857143,21.935987,29.001957,39.138943,36.360077,24.824356,22.62231,29.94129,39.334637,29.469164,26.262232,9.706458,18.669277,22.248243,35.10763,47.51468,42.583168,44.223263,28.219177,36.320942,40.234833,46.87744,51.037178,29.080235,34.990215,31.53786,40.039143,47.162426,34.8728,46.799377,33.34638,37.80822,24.07045,34.30913,22.504892,38.317024,23.7182,34.97268,38.317024,39.060665,40.31311,37.002342,46.066536,33.189823,39.765167,30.640123,36.24266,43.522503,27.162428,37.665886,22.152643,51.11546,40.50881,31.73302,19.491194,28.806261,40.391388,39.34426,35.068493,25.949118,34.755383,25.722092,31.741684,37.612522,38.12133,25.68306,37.534245,43.444225,26.066538,35.128807,23.992172,28.8454,37.182,32.045277,18.082191,41.800392,18.395304,33.4638
ARE,ssp1,tn90pETCCDI,15.303328,16.920376,18.434443,14.931506,25.636007,25.214676,20.293543,21.643835,26.360077,24.843872,23.933466,33.502937,29.68689,38.095238,31.369864,39.295498,26.966732,32.045277,35.90998,30.254404,26.30137,38.1733,41.350292,30.352251,38.434444,55.640125,37.08415,39.060665,46.183952,39.344265,33.7182,39.589043,48.08219,36.163155,38.238747,48.219177,36.43836,35.577675,34.09002,48.1409,37.06458,36.690086,48.786694,32.876713,37.37769,55.932865,30.039139,27.02544,38.25832,49.746296,33.913895,39.5499,50.978474,34.562843,50.215267,48.375732,36.20352,36.43638,35.59687,47.74951,38.669277,40.476192,34.637966,50.469666,49.275932,33.665104,39.275932,42.64188,57.984344,30.854801,38.806263,26.888454,43.444225,36.8267,30.215265,40.254402,36.966732,43.618267,30.0,34.83366,40.939335,38.153786,39.56947,35.94912,41.800392,45.342464
ARG,ssp1,tn90pETCCDI,11.236763,8.607041,12.364228,13.79044,13.681628,20.164322,12.094627,11.843486,15.099582,15.166357,14.66142,13.365879,14.175167,12.098399,14.299524,18.490236,16.7065,16.782932,16.743418,15.682988,18.113766,13.491648,16.64092,15.714563,15.170019,17.7024,18.137085,18.177402,23.11231,15.590242,17.909744,18.564558,18.696201,17.098303,17.994268,18.424171,18.496065,18.228985,22.999126,20.517828,16.629263,18.301651,17.564365,18.400854,16.003595,15.027806,15.045663,16.774992,25.022831,17.26931,17.538134,21.312544,19.961138,17.030481,22.303507,17.974838,18.38871,17.677208,19.882444,19.148935,21.173126,14.707108,15.319149,21.289225,14.563294,17.91216,16.17167,18.924025,20.24337,15.645468,15.606237,15.941901,20.203537,17.24315,17.264647,21.948412,19.317984,20.316435,18.845818,21.78665,21.344116,17.432081,15.35801,18.476149,17.531332,20.343924
ARM,ssp1,tn90pETCCDI,19.817352,19.626593,23.378996,19.452055,21.50685,26.684881,20.319635,36.71233,31.232878,17.30419,38.94977,54.65753,36.849316,29.189436,41.278538,38.538815,40.319637,34.06193,21.50685,18.584475,26.164383,25.956284,36.118725,49.634705,43.9726,42.896175,19.908676,46.48402,45.799088,41.848816,29.086756,36.529682,30.091324,32.240437,35.43379,37.990868,36.027397,44.444443,35.75342,29.634703,45.61644,30.555555,33.835617,38.356167,45.570774,26.320581,30.045662,43.65297,39.58904,22.540983,34.15525,59.680363,29.041098,31.830603,41.141552,31.73516,40.182648,44.216755,42.14612,37.305935,33.744293,39.981785,36.9863,27.716896,34.611874,33.378872,35.981735,40.0,48.76712,52.686707,57.21461,35.570774,33.78995,37.932606,28.538813,19.543379,32.60274,28.324226,38.3105,26.255707,25.707762,35.29144,28.630136,28.127853,26.301369,34.840183
ATA,ssp1,tn90pETCCDI,10.851196,14.381253,14.630165,13.611706,11.948472,14.816344,11.503488,11.884714,12.556563,13.101436,14.948769,13.753416,17.421995,15.868174,15.919938,14.108431,11.325048,14.428979,15.295721,12.334105,13.911117,14.671669,19.001688,19.763277,18.084986,15.510595,16.16434,14.080334,12.942763,16.383339,19.289537,21.743616,19.410875,16.294455,18.164915,16.17206,16.058743,15.57855,15.372062,17.380657,19.162228,16.884531,18.193739,16.505453,13.236952,18.250877,14.016463,18.23458,14.581398,15.089524,13.918362,19.170109,15.073945,18.318628,13.819512,16.05202,15.002078,15.743477,12.485787,13.430313,14.513619,17.224485,19.312502,13.054106,24.322895,18.78285,13.806475,20.910751,20.60173,20.198193,12.748016,16.399174,17.01324,16.538391,21.269741,14.938479,19.596128,17.626303,18.389803,20.050243,16.930744,16.568268,16.300915,21.11974,18.006056,17.657515
ATF,ssp1,tn90pETCCDI,16.027397,7.991803,18.90411,10.890411,15.2739725,13.5245905,7.39726,10.410959,5.821918,12.84153,10.20548,11.643835,8.356165,17.554646,13.150685,12.739726,14.452055,16.188524,15.753425,14.109589,11.09589,16.734972,26.575342,35.958904,26.917809,11.81694,14.863013,37.260273,38.69863,28.75683,25.68493,27.671234,24.726028,22.26776,17.534246,27.054794,19.58904,19.3306,25.890411,38.63014,44.10959,23.292349,19.794521,30.68493,19.520548,14.275956,20.616438,21.575342,15.479452,23.63388,12.123287,15.890411,26.30137,29.713116,21.780823,17.19178,13.013699,32.308743,39.931507,33.63014,38.219177,13.86612,16.986301,30.479452,31.780823,42.554646,38.63014,28.219177,35.410957,28.483606,32.80822,42.53425,39.246574,23.497269,29.109589,38.972603,21.71233,32.991802,32.260273,30.68493,40.479454,36.612022,27.945206,30.684933,29.178082,29.520548
AUS,ssp1,tn90pETCCDI,16.577675,13.362593,12.2487135,17.019917,19.301466,11.987754,20.912659,13.04576,13.892548,16.433748,17.72972,14.023123,10.266977,20.373405,18.484018,12.814535,15.330807,16.735846,21.864761,16.120277,21.851355,24.79518,26.12902,23.845331,14.335179,30.429214,19.265326,20.910715,21.564947,26.103748,22.385506,33.007675,31.020111,30.152502,17.42077,23.087923,30.526377,20.71329,17.75809,27.217916,19.767221,16.01713,24.726707,20.653454,22.520353,33.2192,17.540659,19.865734,21.93646,27.873505,18.700281,14.748858,31.353735,21.18552,18.257845,30.66278,26.25221,20.821802,27.022636,34.937725,25.498106,24.701973,27.684057,22.224424,26.66861,25.255009,25.034683,27.241232,38.953075,18.577297,19.295637,24.058098,23.670263,29.19486,18.298067,20.028952,35.790928,25.104832,23.068687,27.651997,21.433985,16.050266,21.22763,26.501894,23.576607,26.607597
