iso_a3,SSP,variable,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
-99,ssp5,tn90pETCCDI,26.428278,22.963476,20.575567,24.292486,21.02721,21.206505,21.67295,23.472809,27.301704,31.141586,31.035795,28.2147,26.166998,36.21968,31.753946,35.04162,38.383038,38.57819,41.065285,38.69135,42.660595,42.09586,40.729347,34.5743,44.672466,43.585564,48.56183,48.82759,47.20466,47.443455,46.268524,54.81468,55.861298,50.71321,52.461647,54.828114,53.08126,46.284298,54.042027,49.236683,52.260086,56.14121,56.726513,45.486168,53.320892,58.933758,56.65634,46.29092,52.69531,54.632153,55.42384,52.16528,64.797134,54.90835,60.94584,62.41126,66.39991,64.7407,69.09186,69.86749,65.92065,70.09425,72.793846,70.334816,67.91012,76.19303,75.1633,77.131874,77.169945,75.685295,78.168785,82.55235,82.96816,80.5996,83.03908,80.539734,77.06469,81.62624,78.9489,82.77108,88.32145,84.862495,85.73775,85.54291,82.17088,86.786606
AFG,ssp5,tn90pETCCDI,21.346682,18.301807,29.011591,15.081139,20.027397,15.145019,27.580612,19.041096,26.88725,26.649853,20.301369,20.23393,18.979979,30.828077,30.448895,33.471024,39.234985,26.97562,28.855639,39.981033,36.7039,34.239174,39.766068,33.778713,38.432034,38.34384,39.519493,46.800842,43.10432,33.26187,31.766068,63.074814,44.73762,43.371166,46.741833,52.85353,55.3804,49.178226,43.27292,58.25922,52.280296,46.77175,58.181244,49.37408,55.78293,67.0744,61.888306,62.617493,59.487885,79.92434,59.919914,70.3372,56.031612,73.2934,70.06533,74.982086,67.75975,67.25514,70.0,74.70601,81.05374,67.99916,73.30875,78.27397,74.20021,73.9092,78.27397,83.70285,80.55427,80.88483,80.83667,84.57535,92.26554,84.99159,82.40885,89.35932,88.78609,85.128204,83.70917,92.0569,92.2824,88.127365,85.129616,85.753426,96.067444,91.793465
AGO,ssp5,tn90pETCCDI,27.026442,29.289618,22.463203,19.45333,40.21281,19.588259,21.954762,44.77222,19.202293,27.211843,44.92004,36.98885,37.387703,49.01258,35.487736,24.228098,40.499523,48.380985,36.951897,29.21695,46.89774,65.169655,40.166935,41.434853,56.703407,64.971405,64.7085,44.72125,57.943295,54.135216,64.28162,66.570244,72.99394,49.890713,49.594135,62.418606,78.78687,75.399666,61.078053,55.63428,63.02517,72.270935,74.18159,60.788784,74.970375,75.31453,66.35744,69.06913,69.44632,77.392296,73.85027,77.14814,77.70373,78.424194,73.23351,83.79484,79.429115,80.31898,79.77955,81.46161,88.860146,77.023766,76.53138,82.43899,87.14368,73.11475,77.58904,90.293724,90.640335,80.01271,88.44855,90.177765,92.37846,79.283264,87.3756,95.04683,94.81491,82.73224,89.07168,97.77509,97.573746,94.71089,94.82383,97.90634,96.91239,97.82733
ALB,ssp5,tn90pETCCDI,32.759296,30.171741,20.743639,34.79452,22.896282,34.58236,22.700588,33.463795,22.739727,21.19438,27.4364,28.884539,33.033268,27.4395,26.69276,37.80822,38.78669,38.48556,31.780823,21.682974,27.39726,24.238876,38.86497,45.088066,38.94325,46.52615,39.37378,33.620354,63.953033,50.312256,43.365948,55.381603,50.76321,55.03513,59.25636,45.55773,45.479454,43.95004,39.17808,41.643833,52.05479,55.542545,49.001957,53.2681,47.74951,65.84699,73.0724,61.252445,55.225048,62.334114,54.40313,50.33268,60.900196,52.459015,65.71429,67.358116,72.79844,70.257614,57.260277,67.78865,79.0998,68.696335,75.18591,69.58904,65.28376,68.93052,70.29354,73.07241,72.48532,69.16472,65.08806,80.156555,75.225044,80.3669,87.47553,79.921715,63.7182,77.12724,81.64384,82.700584,79.0998,71.272446,83.2094,85.55773,83.67906,82.42662
ARE,ssp5,tn90pETCCDI,15.596869,22.033567,20.215265,26.947163,24.677105,26.014832,17.495108,27.455967,21.8591,31.10851,36.027397,31.115461,37.573387,38.387978,45.63601,28.49315,38.003914,38.836845,32.25049,27.08415,34.09002,56.674473,40.606655,34.383564,41.38943,56.04996,60.489235,42.015656,63.58121,53.259174,43.15069,65.59687,58.727985,45.901638,57.04501,63.737766,70.704506,75.91725,54.8728,61.996086,56.868885,71.291954,69.02153,66.712326,68.845406,88.91491,70.841484,71.17417,71.58513,87.41218,61.819958,80.35225,86.438354,87.45121,82.62231,78.96282,90.05871,75.429344,86.96673,87.82778,89.530334,88.2904,83.268105,88.238754,92.1135,83.56753,86.71233,95.81213,92.48533,86.592514,89.56947,94.18787,96.5362,90.45667,93.11155,94.50098,99.08024,91.471504,97.103714,98.29746,96.360085,93.169395,97.12329,93.953026,99.56947,98.3953
ARG,ssp5,tn90pETCCDI,12.983582,11.730709,15.326435,11.650151,12.864568,10.885362,11.566599,17.394346,10.642184,13.860307,13.195862,17.169436,15.88021,15.699724,13.75595,13.629651,17.969007,19.586386,12.726125,13.9240265,17.18158,16.510677,19.244146,18.707859,22.622656,20.121206,17.34431,14.320898,21.715244,18.897997,18.73312,20.506168,21.329058,17.011105,17.608084,28.887108,25.092783,21.605045,22.357428,23.65394,29.98397,25.642366,26.100262,31.172155,25.353638,26.438301,39.692024,37.026134,29.14602,34.633087,33.79287,36.688526,32.063053,40.397434,38.229378,34.79015,33.90411,36.854244,36.130383,41.064804,40.687847,40.325737,33.2867,39.18197,39.179054,44.3088,41.757988,40.75391,47.94472,49.501995,48.08365,45.847664,50.993393,50.166645,45.215683,46.522396,45.926357,60.44404,57.523075,42.273872,48.196346,58.38081,55.913727,52.08491,49.702225,55.77188
ARM,ssp5,tn90pETCCDI,8.904109,33.333332,36.666668,30.136986,22.785387,28.688524,25.251143,14.383561,12.100456,35.2459,18.812784,21.689499,36.34703,25.0,31.004568,50.182648,41.004566,25.819672,19.086758,50.045666,34.931507,43.533695,32.648403,43.150684,31.643837,58.06011,40.547947,39.954338,50.63927,57.74135,44.52055,52.69406,55.02283,49.49909,43.05936,33.51598,48.538815,63.79781,63.83562,69.58904,52.60274,38.433517,47.488586,54.931507,43.744293,64.11658,63.19635,69.17808,62.83105,72.31329,71.05023,67.99087,60.63927,73.63388,71.598175,82.83105,83.013695,82.468124,73.92694,58.219177,76.39269,79.007286,84.29224,83.10503,75.61644,74.635704,76.07306,84.20091,70.86758,84.28962,92.283104,86.57534,81.91781,90.983604,90.22831,89.13242,77.26028,80.418945,84.977165,95.61643,89.68037,88.70673,87.21461,81.50685,96.80365,94.3379
ATA,ssp5,tn90pETCCDI,11.606313,12.54092,10.511217,12.500505,9.786605,12.533897,14.093212,12.730413,11.164031,13.879993,12.601399,13.316018,13.055902,12.518948,12.907285,16.183441,14.376135,15.36302,16.203543,15.441021,13.397811,15.556329,15.911126,12.599491,13.710691,16.28972,20.39524,15.72803,16.170721,16.701664,19.57916,14.347288,19.40815,22.27784,19.543818,15.524812,19.138878,19.590971,21.628504,22.794851,20.17058,19.002752,20.916838,26.445715,24.836359,28.422596,23.393154,18.731144,21.852825,25.476658,26.821127,24.023323,25.877668,24.618412,20.893353,30.108753,25.544119,22.795452,27.37139,30.376093,29.13672,30.385859,25.098066,28.318663,29.055021,33.714832,26.203362,33.814606,36.61668,29.507267,31.952538,39.43236,39.473972,30.557737,37.643955,39.200523,48.05505,43.542946,37.706505,39.269188,39.27684,38.395702,38.11054,34.046036,48.21752,53.003136
ATF,ssp5,tn90pETCCDI,11.30137,16.188524,13.287672,7.739726,9.452055,10.655738,18.287672,18.698631,20.342466,12.295082,9.79452,17.123287,25.273973,28.346994,18.835617,20.0,15.479452,18.51093,13.972603,20.273973,21.986301,21.379782,18.630136,35.27397,30.342464,19.945354,23.630138,27.123287,26.50685,28.551912,20.273972,36.71233,24.520548,20.35519,30.684933,41.369865,32.60274,25.887978,32.054794,38.0137,35.753426,35.99727,29.315067,32.46575,39.520546,24.726776,41.36986,55.753426,53.219177,56.967213,38.835617,47.945206,45.27397,49.726776,48.219177,60.410957,61.506847,58.26503,64.178085,74.45206,70.0685,48.8388,66.50685,64.178085,71.16438,67.75956,72.054794,79.79452,81.30137,85.58743,84.863014,88.15069,90.821915,79.303276,81.712326,82.46576,83.561646,90.23224,86.0274,87.19178,87.73972,82.03552,83.76712,92.46575,86.095894,95.0
AUS,ssp5,tn90pETCCDI,10.886428,14.719994,9.436899,14.95735,19.676674,18.48719,13.220829,20.650345,11.9479265,13.839477,15.490916,16.256096,18.409794,16.253923,19.82629,20.111921,25.622656,20.515638,19.484697,14.805013,15.849995,32.868465,21.701738,16.929758,20.31128,33.917953,40.393276,25.881277,24.983776,28.783669,23.532303,35.405228,35.06383,22.17901,24.296705,32.349754,34.45429,45.501877,32.085106,29.12426,28.830662,38.5149,34.257847,42.641212,37.843777,53.995663,32.516853,37.21267,44.724377,52.432663,38.92684,47.951813,58.690563,56.28338,47.545322,51.747787,50.39872,44.61613,42.20441,55.204315,63.62227,55.468937,46.821136,59.133976,61.558533,50.399956,50.439716,72.136986,66.23706,59.657207,66.15001,72.09734,63.31371,61.94629,54.562325,79.88264,72.76576,70.58947,64.21199,70.0068,79.32731,67.681274,70.643936,72.70961,87.05897,75.37608
