iso_a3,SSP,variable,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
-99,ssp1,rx5dayETCCDI,61.825726,62.283325,70.72947,66.28334,65.79855,69.92023,64.16573,65.65717,70.12769,62.490166,65.11462,60.231453,68.27891,67.307014,69.06771,69.67508,65.852875,67.83763,68.15886,66.89498,67.83259,66.850746,70.538826,71.11098,72.35642,68.92715,69.21508,66.597305,65.260796,66.819016,65.23685,63.834923,70.64723,59.271027,63.689835,68.19322,60.397236,60.756397,64.51533,67.79563,64.50553,66.17285,71.98763,60.29345,65.85339,69.45492,61.548275,64.8603,65.3755,64.52665,59.49785,68.48108,68.71943,63.747658,66.049576,70.095955,62.364292,67.46905,69.46654,70.87006,70.724686,74.21963,65.8518,73.436134,64.94811,64.18024,60.466812,70.745735,70.95064,62.42534,65.18397,62.444805,63.853947,65.406975,66.522736,66.04182,65.65257,71.6309,63.6736,66.89535,63.81249,67.340256,66.898384,68.50979,71.07992,69.17483
AFG,ssp1,rx5dayETCCDI,23.800846,45.070583,24.63415,58.735626,46.858315,36.315876,43.298428,42.397392,40.406673,66.19178,28.76029,50.501694,32.60792,52.31686,39.41688,27.273085,32.117046,48.78865,50.171837,26.592838,43.18164,51.85731,50.58025,32.709686,40.713905,54.589478,29.66401,43.19354,49.032364,43.923393,37.10556,51.173397,35.580822,47.58902,50.481846,64.43468,38.8266,23.426928,33.95263,53.48716,31.912601,55.919827,57.616917,50.578953,36.36236,34.27609,37.346626,32.922413,45.223335,64.309944,39.77508,51.641594,40.37006,36.890438,48.645515,42.056194,26.536316,26.906893,59.015697,55.326546,47.752567,36.841633,30.801807,57.485134,62.401196,24.775883,39.093494,56.439064,58.071095,26.532776,29.56349,36.870068,57.046597,47.853203,43.474827,45.82101,60.695557,43.64651,35.634705,38.10692,49.101868,41.829357,39.259296,47.66607,52.789825,41.16683
AGO,ssp1,rx5dayETCCDI,95.0095,97.590385,103.36117,94.24266,101.491745,104.58556,95.83137,99.097244,106.70148,94.207756,102.17875,108.10937,103.08271,101.87525,97.71742,95.14145,97.46684,101.50927,106.73798,100.50953,104.821465,92.20069,100.696655,105.231926,105.53312,100.810974,100.092255,106.40104,96.10653,102.545876,101.28426,99.461494,97.39698,104.22088,101.34118,99.57793,101.36599,101.222786,94.67637,100.91471,95.12539,96.48299,104.06632,99.45471,103.02297,104.730896,99.89553,104.561485,104.96503,99.29393,102.805786,103.631546,99.726845,95.415695,98.14369,107.62414,105.32984,104.09005,96.214264,103.65536,98.789474,101.31207,108.829155,99.002754,97.29548,107.06166,96.10005,99.51096,101.95733,96.22564,103.018074,102.4779,98.583305,100.42057,101.238846,100.60804,98.07163,97.194496,96.21292,97.126854,100.05235,97.05265,98.356125,96.57769,105.450325,100.537384
ALB,ssp1,rx5dayETCCDI,79.45588,66.49265,97.38381,57.86152,85.27748,66.367355,72.36851,67.55358,101.12939,84.23727,118.59328,139.24136,121.45644,110.33681,111.48578,138.645,84.26277,88.65212,81.40846,97.690796,80.56661,83.49886,124.603325,72.53012,90.89064,75.92699,88.42152,94.9089,104.4189,78.25587,97.373474,93.43547,120.80099,68.20299,76.76813,92.82526,81.568886,121.6747,76.39113,108.22337,85.13787,71.35756,66.97494,80.222206,129.46909,74.44352,56.2029,66.82023,80.04659,79.144424,77.84924,65.38725,73.95813,98.508286,117.06707,84.52036,101.161255,81.76892,75.87848,80.326744,145.22005,136.80138,81.946915,129.91487,73.18206,86.55636,100.37963,116.28691,104.90719,92.690636,77.78368,90.374535,79.86251,99.93914,49.18576,95.74163,89.51116,71.51339,91.29204,103.89785,67.00677,78.47899,102.18653,68.06746,125.32609,89.186424
ARE,ssp1,rx5dayETCCDI,3.450735,1.324473,8.373802,15.016534,19.225239,2.502168,8.722025,7.019426,12.224727,17.558416,12.340288,9.772184,6.981624,17.727873,0.4573762,1.6536151,4.758055,26.71285,19.175339,2.2667348,12.799449,18.166636,22.466066,2.4886663,9.351728,37.19002,1.4233073,7.7917924,16.538784,22.847706,29.661076,7.142304,2.3205945,3.6521447,8.035639,28.575241,7.905159,2.1153224,4.264736,9.940079,1.1793419,19.122768,17.470602,12.264768,14.467538,5.0563817,3.920313,2.4647667,29.311022,37.776897,20.249952,43.187885,13.950401,7.357679,15.343373,21.232311,0.42902532,1.4466625,20.26672,38.292423,14.992795,2.8214295,2.4696271,11.280008,18.552471,12.284059,4.025304,17.093105,14.5334425,0.69719976,2.300388,13.270164,12.1508875,32.503117,12.969229,3.6841578,37.823906,5.2543173,1.9140941,7.7036357,16.78536,16.803965,3.1223667,5.872096,27.867422,54.297417
ARG,ssp1,rx5dayETCCDI,83.11047,95.95834,80.09509,96.75503,81.3551,81.756424,89.88426,93.5885,94.7495,84.62965,76.78269,88.57773,88.06176,105.736626,97.88201,79.57651,91.01736,95.593445,100.69751,73.236534,99.42495,93.701004,90.66575,83.83921,101.82974,88.74913,95.23965,87.210754,88.89694,77.62339,90.64423,92.70608,89.22323,83.55142,95.07395,94.506714,94.80518,87.44138,85.90324,102.06702,93.24686,98.97164,88.67332,84.739815,90.992226,96.815956,97.9552,86.766945,88.52033,109.663345,86.06094,83.70362,91.777626,107.01502,80.490585,92.66565,83.30163,96.593216,88.46797,103.51243,92.24872,87.38289,85.68868,90.6123,88.416664,85.115746,88.40943,94.91511,86.225395,105.65114,88.07719,86.321365,86.38762,93.65617,85.147156,91.77404,80.99135,91.46167,87.67094,81.64122,92.52611,89.1858,82.71779,94.50136,91.44795,79.50674
ARM,ssp1,rx5dayETCCDI,56.656864,55.335117,50.720554,52.281708,55.442265,55.91873,65.40229,54.57703,52.05357,54.589664,51.802322,47.43692,47.55675,61.483562,66.69987,53.174725,72.53105,56.27588,64.40273,70.74769,46.64063,44.007793,61.496754,55.375286,56.780457,67.20783,55.64502,57.38681,67.86207,58.02087,73.26151,66.36205,75.122154,61.62755,40.955856,61.67236,57.122448,39.231873,52.31219,64.62194,58.79034,54.271515,65.74531,68.458824,53.163593,77.65713,50.80417,54.164948,63.113453,59.134842,57.168957,51.568638,57.110912,67.8749,64.424614,56.249557,61.52178,69.67468,66.781944,64.80871,81.80212,46.769794,45.822906,70.42917,64.8348,44.492535,50.84042,59.602848,45.469067,35.789402,49.104782,58.09685,64.30457,63.54056,57.531628,68.94525,79.22863,53.355785,53.408966,67.91007,69.32848,70.04724,52.906796,68.56722,58.441936,50.5928
ATA,ssp1,rx5dayETCCDI,19.416971,19.769598,17.9566,19.035511,17.84635,19.834356,18.183298,19.87642,18.037596,19.425453,20.580751,21.072237,20.12193,19.811356,19.869972,17.486244,17.8888,21.906736,19.582394,17.918959,18.801575,18.414324,21.12165,20.491419,18.95479,19.56339,19.086681,19.027937,18.405752,22.055195,20.420961,19.643822,21.10135,17.419504,21.374716,19.715437,19.35986,20.113096,20.971687,19.759983,18.984085,18.901066,18.562223,21.291248,18.933968,20.182207,17.838152,19.196869,19.650543,19.40683,21.096363,20.272366,20.118114,21.025665,19.8775,19.436014,18.51151,20.245417,18.84384,20.759089,19.351326,19.357107,20.34532,18.446762,21.323069,22.602703,18.119951,19.916693,21.012423,19.244188,20.474237,19.464434,20.721313,18.624603,20.217833,19.389658,20.003271,20.611744,20.040134,20.325764,20.89988,20.899593,19.59154,20.876091,20.398584,19.793419
ATF,ssp1,rx5dayETCCDI,54.357388,61.32341,69.62636,56.19755,67.79756,73.64131,74.174965,72.74266,62.905838,82.50341,58.493046,64.61428,61.153236,66.17905,56.67997,63.140038,59.768726,63.6932,64.82437,57.75387,93.41178,75.82652,71.50413,106.18758,97.65358,72.64023,60.62904,71.23758,59.344963,57.7346,61.688,66.38908,62.206043,58.831352,56.56198,63.60944,56.805367,61.924644,68.95966,60.381268,68.86576,66.73334,64.23535,50.60776,58.907726,61.294662,79.35495,65.160255,52.38353,65.31879,52.380768,73.753555,81.059395,66.75072,63.47009,61.495193,60.60766,57.662655,65.109116,62.120182,70.862755,80.330956,57.26853,70.62341,79.56842,55.833588,70.90596,64.6632,66.813675,58.0094,54.104393,74.59172,58.796448,64.79692,62.597958,74.881134,55.595165,59.46064,61.73023,58.149998,73.40965,71.80875,64.96214,56.9586,60.21254,70.16882
AUS,ssp1,rx5dayETCCDI,82.56215,99.91262,79.66161,69.27909,90.36222,105.39144,92.2914,90.626915,69.977234,86.38177,75.18622,90.819145,99.21333,87.86069,119.174866,97.06658,86.41688,90.290764,89.113716,98.839386,83.26841,90.28615,95.47017,84.36019,82.480965,83.72074,92.02589,70.75827,95.61766,101.57437,102.107506,84.83763,69.8645,84.52341,95.74829,100.41599,82.501465,106.68567,101.580284,85.08843,103.121956,94.12566,84.47054,96.90144,95.8449,93.755615,104.39489,106.75438,99.34534,83.455376,115.89581,99.48687,93.23412,85.66051,97.26362,97.7605,99.402374,100.9418,78.821335,68.363335,78.02679,85.0711,98.59216,95.98677,102.2239,87.34189,97.75225,72.01374,86.95617,105.474014,90.081024,71.58826,84.30332,92.95679,100.339264,97.716934,83.37066,77.61693,103.77758,77.47271,87.9389,112.46435,86.232864,74.8438,108.02121,101.44495
AUT,ssp1,rx5dayETCCDI,75.35533,57.044056,82.84957,78.17204,70.94101,72.68109,64.24182,96.61127,81.20487,84.91244,62.21126,61.508575,90.38507,87.24498,84.29425,92.68688,64.40897,69.85354,66.62136,84.50204,96.893005,89.93602,95.774956,72.05792,71.6437,63.269356,67.432205,81.402794,70.39575,68.1287,66.79769,88.020584,84.32801,67.39318,80.56847,99.185974,78.9257,84.87798,81.79851,112.2402,76.424515,73.84328,97.9995,81.024536,61.482265,73.10609,62.8612,76.18076,77.70504,80.35039,78.30963,63.737694,71.60016,74.57883,71.979,70.776184,67.02666,64.46227,86.677986,64.00025,81.84257,112.56969,71.202385,73.22462,80.9622,65.60134,79.03249,76.15777,83.34379,83.09713,74.49267,63.016235,89.15851,82.81866,75.59576,82.49927,85.087845,57.427258,84.04584,62.23067,73.428894,101.36306,79.76937,60.594707,67.246544,86.143295
AZE,ssp1,rx5dayETCCDI,54.85845,46.54321,58.694786,62.48498,49.670006,67.93448,59.653893,54.13258,62.093533,49.615875,47.36141,52.5707,64.35573,61.055664,58.338818,65.80445,72.20052,53.699898,51.746166,88.94232,64.07888,50.526417,63.909054,54.206894,44.183613,74.29289,56.491154,49.107193,56.882854,54.491535,74.05872,71.868385,61.825928,50.438095,47.61537,61.922848,65.9238,38.253464,59.504242,58.86311,47.15382,68.86477,56.615673,73.617195,53.843994,74.15715,48.165455,40.629665,58.96133,55.983707,51.691555,51.47595,62.15458,58.802937,57.77469,58.428455,48.346085,67.13284,73.561554,61.067043,73.00756,48.61693,51.525963,58.406254,63.31609,53.65906,52.239815,57.0788,60.97195,39.685974,42.908993,55.272472,60.692787,53.534046,51.74839,59.2096,77.0646,54.66865,42.57568,71.6392,68.7893,80.48876,71.166695,70.81682,52.710068,54.66264
BDI,ssp1,rx5dayETCCDI,84.60302,86.453,76.98855,75.382324,83.14733,78.31654,77.89717,69.067856,72.0828,87.04519,78.475525,83.84294,78.99146,77.8595,71.9573,87.36515,82.92484,82.933426,82.9688,88.795,75.37145,86.94391,87.87918,80.04179,77.00071,87.117004,75.08545,90.075966,74.24945,96.27513,83.935974,82.579704,79.262924,93.17407,75.18635,65.8433,73.85778,87.53385,77.37722,83.57906,72.30291,83.19092,78.785934,73.1802,83.68797,80.118324,90.78912,78.162094,85.08148,84.742355,85.90889,82.52229,76.812454,74.31621,84.40752,77.747345,84.4037,69.86351,93.3999,72.19877,78.77864,78.738495,87.50219,81.7607,84.18541,79.82616,81.72226,92.08655,78.49664,80.21059,89.13802,80.204,81.3775,84.331505,83.51106,82.317345,84.49764,83.60109,86.216255,81.82841,80.621475,74.46184,81.746864,73.55394,86.83777,87.47377
BEL,ssp1,rx5dayETCCDI,56.489563,55.603336,69.61973,56.33214,65.258095,58.892174,52.673088,50.247284,57.11837,51.50423,57.514988,45.161537,66.35871,64.53197,54.90716,64.87274,56.33058,45.756927,48.937557,70.92571,45.16241,62.391884,67.961716,61.293446,66.620636,81.68879,52.851204,56.619404,49.882034,57.07648,51.563454,50.445095,82.55051,86.82795,58.273575,57.28939,55.51518,51.564167,53.3715,65.60254,70.82737,54.33937,49.53492,43.49529,62.1632,65.769615,61.28121,67.69784,49.752872,69.30173,67.16705,60.00437,56.73283,61.19079,63.143246,59.135605,60.811195,58.707653,54.6793,80.19776,66.5401,49.616383,65.85773,55.72287,51.068645,46.67091,58.087418,61.414913,52.37784,56.175312,54.061073,53.909122,53.15611,62.041153,44.431786,49.307156,46.49455,48.320885,62.822548,64.70106,63.355072,47.730694,62.84255,63.01512,50.101738,68.72509
BEN,ssp1,rx5dayETCCDI,68.565506,84.074295,102.36148,71.87128,83.99017,83.61034,62.56917,77.13246,76.18444,66.074486,81.700134,83.95565,77.28282,90.94973,96.58029,68.59274,88.46504,75.37255,73.17125,72.62595,75.53529,80.10435,88.242836,74.267136,63.427757,73.08334,73.70628,84.620804,74.45108,79.649475,93.27392,116.32515,98.6376,76.948586,80.322685,83.49121,84.23754,86.403595,74.28733,82.054474,79.6397,76.934166,77.92874,76.6539,81.0257,100.63965,117.01007,75.471565,67.498795,61.759075,73.88575,134.3664,73.97595,77.11273,84.43038,94.10979,82.255646,86.19292,83.47388,84.15084,82.49213,77.0584,93.83586,62.291115,88.27108,90.47325,78.59802,113.53077,75.46338,86.953415,66.11164,74.979355,69.44668,64.151215,78.89952,91.947105,77.94268,63.136826,73.058716,80.12076,81.16438,76.68158,86.06327,92.242294,67.61705,64.738556
BFA,ssp1,rx5dayETCCDI,56.99128,68.594574,74.34935,67.009964,63.486713,83.71138,61.4643,70.48954,76.34154,45.504353,77.65966,94.72612,71.71959,105.107666,72.329414,58.62664,58.256405,73.97894,62.81353,57.140926,58.26758,66.526344,79.08117,107.29217,51.516125,97.90461,75.48442,96.12857,57.54998,76.469124,76.71975,75.09809,75.99251,65.15371,73.948906,59.425922,117.35756,68.02535,51.509197,74.735504,60.714046,48.732994,63.61915,90.82701,53.39527,101.92762,114.48207,60.348057,55.402454,57.67281,70.00761,102.89788,54.012264,58.208775,72.94877,80.98747,98.75384,76.23794,67.98354,107.83296,63.046875,78.26603,61.80639,45.603287,80.14136,78.13792,53.067684,96.263214,60.91727,70.78261,68.24423,70.3594,76.941216,66.464775,58.95957,80.59855,69.05589,47.70413,51.181828,78.412895,65.65327,81.60177,86.75055,105.470634,53.009155,56.04027
