iso_a3,SSP,variable,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
-99,ssp3,rx5dayETCCDI,67.67948,67.08078,62.350918,63.890736,67.51596,64.655785,65.60699,67.03318,69.969955,68.46763,70.442665,69.84054,61.864185,68.24679,64.79028,67.31513,68.32529,62.565136,64.35811,61.60629,59.780155,68.45497,66.458275,67.14766,69.32639,71.68463,71.509514,72.23412,71.81083,70.89164,62.278706,68.08616,66.69254,67.415535,65.69689,65.95118,69.96598,70.66095,73.26288,66.05625,72.303696,68.90844,69.53192,64.25879,71.67917,71.4811,78.23031,66.20062,64.13858,70.90694,73.51725,75.34932,70.45796,75.720184,67.22458,68.76934,66.24228,66.9936,67.39311,73.32556,69.19979,70.85309,65.206924,73.294495,73.59131,75.69759,76.903534,71.051895,69.50345,66.61567,78.68091,72.352684,69.80127,75.17528,72.42871,68.0437,74.54829,71.755745,72.84353,83.137955,79.644066,78.80557,82.68146,79.23111,73.06054,73.41566
AFG,ssp3,rx5dayETCCDI,56.701904,27.530388,24.413055,38.013985,41.210033,30.114079,34.321846,57.08898,34.476788,34.2273,38.727753,54.078094,50.393692,40.523663,30.748209,54.87998,46.838657,38.44519,51.62028,41.427685,28.952374,32.66687,57.732433,51.61731,43.620827,40.434433,36.56309,42.328915,41.32716,40.705353,47.875168,48.624077,41.98928,71.465706,38.086308,17.962772,29.6351,46.128365,54.85736,27.254002,21.50127,60.162476,56.631634,38.41164,56.30797,53.491287,52.582607,52.910763,34.025467,60.87547,62.219547,48.152943,37.641617,45.32039,60.05726,48.821114,47.190334,22.013733,31.581152,74.58087,53.597324,25.73153,43.295624,59.800026,48.25961,22.210543,37.448963,62.186844,62.199272,23.47794,53.00559,57.507587,41.312656,43.66107,60.74884,18.944485,35.141262,47.308517,58.833126,57.96427,23.918877,42.68652,80.807884,71.39138,27.417297,18.00438
AGO,ssp3,rx5dayETCCDI,98.41535,104.56319,105.86605,95.62243,94.94104,95.99721,96.49413,97.57403,96.96169,94.414825,98.81641,97.26173,96.25803,95.70011,99.27476,98.01868,99.38704,103.801315,96.448204,92.46584,99.12048,100.90885,101.33775,100.10319,102.42131,98.47097,105.00016,103.839455,102.91535,106.23468,104.15777,94.98663,97.9798,99.91548,94.77707,96.609314,98.68982,97.59288,100.53729,101.54326,113.250114,100.869896,99.31162,104.256935,100.24368,110.13147,103.09469,102.675316,105.94887,104.79497,104.1327,105.39819,113.40904,96.38968,102.76839,99.22948,100.94784,108.90828,103.66353,116.11887,109.42635,108.33212,106.25343,108.38354,108.4028,118.956215,106.18445,105.471596,108.98571,110.926674,110.95533,108.08016,108.68768,119.15757,98.879745,109.41224,113.89381,103.650566,108.01245,113.44738,115.99326,106.19383,113.552925,116.20393,105.98298,104.30879
ALB,ssp3,rx5dayETCCDI,110.28359,77.74278,76.69841,91.632996,126.47355,94.55346,94.381294,105.14486,77.25476,99.8972,110.97321,107.50387,101.762,89.72826,69.441475,82.295715,82.0443,83.96936,102.62981,83.42647,75.303345,109.302895,184.8651,72.59193,83.64819,92.14172,108.36192,92.85876,87.82197,93.91514,68.10382,84.50257,79.77239,77.4284,66.778854,97.89277,74.18249,70.07375,97.015686,107.408264,81.68318,91.33162,111.58203,84.6134,89.54369,90.766975,109.72994,76.06029,69.60336,72.89718,114.7041,90.02317,114.413025,83.822975,120.31913,96.37578,99.62726,83.10426,102.2766,67.930504,92.74811,81.94811,127.01305,92.635826,84.74959,95.627426,127.53266,154.68407,108.17407,77.108986,45.09494,120.60754,81.611,109.293846,101.705635,76.56963,123.29449,96.03413,75.71818,88.01302,79.79077,111.35848,74.91453,93.06486,82.20213,83.76324
ARE,ssp3,rx5dayETCCDI,12.187117,7.3741097,7.6393204,33.164814,3.8637025,17.443655,7.530292,12.445035,12.114156,9.748079,13.082412,29.930603,12.75947,5.0108786,18.185747,22.281921,10.054071,5.616562,7.659991,3.8294587,2.3927104,3.8178875,9.810844,15.44961,25.664135,1.309222,9.910454,20.47347,7.3410215,8.87088,18.60798,51.40235,22.039545,100.32277,5.7805753,2.97523,0.8789564,119.27973,10.926957,0.7486444,1.8747308,29.15858,39.96758,4.176049,3.2292056,33.03407,8.961765,44.61732,0.32817718,26.900635,10.260195,10.656687,6.120748,44.124706,64.95105,56.71578,15.209307,26.703426,4.7895446,109.231804,35.930115,1.9668995,9.000413,34.187477,1.2511013,0.6322563,3.027525,46.633293,68.17211,0.2502844,5.898637,61.06361,3.8795493,52.03718,40.00614,27.869488,3.1636066,2.91939,19.24016,49.937782,3.2000442,31.268559,91.6828,40.374367,1.2524444,0.8507492
ARG,ssp3,rx5dayETCCDI,87.25333,82.17311,82.03237,84.32702,83.35707,75.80248,81.14958,87.54367,88.41276,82.41565,81.49718,90.15857,98.48596,74.6071,92.28364,94.06699,86.60171,86.886604,92.60141,92.47316,82.40261,87.38106,84.6109,92.1816,99.056366,99.12273,88.49195,90.35953,92.5894,90.840454,86.393005,97.738594,91.99703,102.40867,78.558784,91.17371,92.5321,92.47142,92.622246,87.5256,79.42667,94.211586,107.18588,84.96768,92.93094,98.61074,96.35758,101.59069,97.62428,98.30196,103.03244,107.69298,99.117485,90.538155,94.71704,99.75359,95.946365,108.357834,83.2248,102.468,106.609856,96.10017,100.704315,112.91558,110.73098,95.91863,87.95363,110.17832,103.107796,94.359344,101.77163,94.457,86.938515,102.1157,118.6152,97.44054,114.352104,105.335526,99.72074,105.290344,91.52229,103.14906,112.60258,131.55437,99.79037,92.2611
ARM,ssp3,rx5dayETCCDI,59.770924,59.9107,70.18908,67.91097,56.390087,64.809296,41.158108,57.191944,78.59409,45.3132,59.102703,62.52107,62.441833,62.658703,48.398365,54.215992,44.20194,56.879765,73.601616,52.08754,44.81265,58.98871,53.48921,63.53769,55.096466,48.4818,40.85565,59.491962,62.485546,41.212933,58.30733,72.204636,64.55543,50.21701,63.423595,51.9891,50.792408,55.07765,68.307625,49.476944,77.51704,58.2067,56.29128,47.31264,55.24551,68.17855,61.04938,49.665848,62.639587,65.11353,63.192566,58.342102,62.902477,51.91086,53.108826,53.306396,84.82022,53.384113,64.43995,54.443996,67.84991,56.30148,60.50124,80.59254,62.178745,41.812878,71.10083,69.46703,92.39945,41.904575,66.74473,56.819138,74.27671,76.09409,80.27729,57.425938,50.75528,61.842773,70.26981,80.37371,41.802006,56.296703,56.42448,80.18622,71.5505,55.854923
ATA,ssp3,rx5dayETCCDI,16.252642,18.232174,16.887466,18.072172,18.893816,18.294596,19.322123,17.886549,20.48487,19.60404,19.832476,21.07975,20.005175,18.73416,21.24338,20.736326,18.072577,16.654655,16.58869,18.657524,20.65267,19.450962,21.998129,19.726225,19.499565,18.786654,18.372875,23.58462,18.86681,18.140207,20.086647,20.262978,21.176624,17.248486,19.742374,19.912298,21.382221,19.526884,20.812416,20.729952,20.815664,20.406382,18.782398,20.280521,20.616602,19.459085,20.468233,20.963749,17.928051,20.084024,19.95461,21.553785,20.312157,22.489098,20.92734,24.584045,21.548475,20.338495,19.969984,22.053175,21.164467,20.532145,22.207184,21.306551,20.382498,20.077988,21.111843,22.201073,23.520674,23.507233,22.18278,21.734644,23.590439,20.329573,21.225658,24.213346,20.221388,26.107365,23.157616,21.339682,21.247898,20.913649,24.872229,26.665766,21.320068,22.014189
ATF,ssp3,rx5dayETCCDI,57.820877,47.82876,74.93318,55.803596,58.293,56.28426,63.944923,64.94704,59.46248,52.51741,67.26372,60.624237,73.520355,53.74024,57.356644,74.660324,64.724625,72.010864,63.47049,65.82268,62.316563,50.812634,74.75563,83.87389,61.878742,54.664047,87.98453,55.564064,106.73154,60.311764,75.06368,50.126564,48.973038,53.412865,71.044464,51.794678,64.81772,62.89037,86.28799,51.50331,70.65104,78.68287,76.967384,51.925186,71.021385,65.333984,71.71245,73.79321,73.62309,61.197445,60.330284,65.43037,59.617947,68.74573,51.42636,89.56289,66.68107,54.73195,66.14707,85.87046,92.551895,55.984318,57.541546,70.69608,82.22813,70.09889,70.93635,72.58133,68.73851,67.083405,58.88835,67.59064,61.93571,62.808224,65.65736,67.231,66.429016,65.15733,60.44032,59.228313,70.17081,69.98761,68.742966,82.06531,59.402718,58.76734
AUS,ssp3,rx5dayETCCDI,88.07362,87.310844,89.31376,82.73396,93.36185,99.57044,96.0037,89.79993,94.41558,100.39577,94.354996,85.21967,99.05087,97.02062,90.80522,78.20575,89.84248,88.61667,74.77584,96.72192,95.079056,67.94374,89.13507,90.1116,79.47129,110.03288,96.29555,108.333565,78.27584,96.02444,78.83652,86.521965,82.43381,73.012314,93.575806,85.137115,84.986244,100.49894,97.420555,106.85553,116.90062,95.74834,90.396286,85.68344,110.138916,111.960846,98.27856,84.26695,92.23671,86.98059,72.63432,97.420166,78.20718,92.66739,97.90005,95.98116,102.46302,112.608765,108.613106,86.6331,79.41626,135.06477,104.366005,84.69117,120.953804,107.76839,91.47151,98.38313,122.51246,113.5697,103.95364,81.364555,81.08806,99.85471,112.914474,139.09863,117.437225,114.353714,88.48257,127.218414,153.10663,120.956825,111.4218,98.88544,141.37927,119.99991
