iso_a3,SSP,variable,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
-99,historical,rx5dayETCCDI,62.378197,58.934452,62.169186,58.679382,58.538864,58.6904,59.10499,61.860237,60.701424,58.18103,61.60813,59.371014,53.750813,62.291046,61.619423,58.335266,57.365513,57.22873,63.762352,57.038494,55.973312,60.46805,57.666996,62.38665,61.643196,59.686028,52.248016,58.29208,58.482277,54.736313,58.944305,59.476223,57.464104,61.39731,58.467766,57.000286,55.626575,56.743195,61.36719,58.547592,55.63074,58.821796,58.424793,57.06102,57.806023,55.83614,65.26688,59.30439,59.48955,54.352085,60.632854,56.95743,58.24935,55.87039,57.099323,52.47594,58.95873,57.260967,59.8937,54.9681,53.963554,56.845837,56.46105,59.775475,54.255573,57.652912,56.120834,52.451942,53.851074,54.62865,57.196095,58.21378,57.544098,58.05156,59.991432,57.10201,58.758324,52.137638,50.23293,60.967407,49.124,58.69029,54.726955,59.264114,61.15085,63.153584,62.22779,54.045906,55.76234,55.209995,58.289314,60.52899,49.895485,52.93567,54.366867,53.68013,53.820583,55.12356,56.961353,57.301884,53.312813,55.59111,51.16375,59.944244,54.92423,54.670513,58.506416,52.26068,52.00916,51.74802,55.13755,53.8724,57.909214,54.485737,60.340885,53.873318,58.244705,51.784565,53.26514,52.02772,55.731388,56.047363,56.39538,55.10303,60.410225,58.545357,59.51238,58.045162,54.00365,55.76034,57.245758,56.94742,56.52476,51.79842,57.804718,60.145916,56.189644,60.27147,57.850845,56.07811,63.298046,59.252506,60.195812,61.362366,62.162003,54.369064,57.606342,62.856842,57.55672,58.339363,68.156456,62.49817,62.408985,66.41819,59.787025,62.793316,65.105484,65.91791,60.687603,69.05103,61.27589,66.21572,70.05821,63.429066,66.76778
AFG,historical,rx5dayETCCDI,27.703684,29.520823,38.12756,34.07142,32.514774,33.903305,44.066532,46.601875,50.263836,45.12054,33.046055,44.830204,34.709423,40.230595,32.29613,37.086487,27.782091,38.69279,17.701414,48.768127,46.55711,42.857018,53.560226,35.991695,24.071169,31.190842,42.14884,44.869495,36.546497,51.345417,37.42234,56.50112,37.612907,29.786432,37.67414,35.29563,34.220787,25.303406,41.017513,34.643745,33.611797,35.103447,40.966537,34.32186,34.54447,29.600632,45.079308,42.758877,31.65216,26.516062,39.29658,25.087597,18.304693,37.185966,34.66857,31.748114,39.001724,44.389545,30.813204,30.51121,30.882843,25.79743,40.355114,38.157433,33.292595,26.830502,28.133408,41.889633,39.936893,38.750935,39.39512,25.800484,28.033838,37.96124,40.468307,30.893587,35.802704,38.616146,47.385418,39.16077,28.185495,45.24377,36.13156,31.21957,22.752218,43.34434,37.02224,33.498924,27.950623,45.316242,48.786972,37.846767,26.10227,30.420074,41.3524,36.78479,40.81024,32.91847,38.54786,35.61731,53.642506,27.759878,32.037,43.827164,30.182951,23.381634,36.862404,34.77093,31.785458,42.95683,40.06197,32.796844,38.84451,58.476196,32.604218,32.308617,32.487705,42.72703,23.250244,36.10018,40.720497,39.90282,26.318964,35.27033,63.386642,45.400898,61.404366,50.895176,45.095387,40.698364,32.81665,46.8372,48.576748,30.507132,32.643005,39.69809,40.470993,55.112904,26.765137,37.799698,51.15834,39.87272,50.12438,47.351738,32.97131,30.150047,28.22927,42.75092,43.117825,32.484188,37.14123,38.645947,47.191265,34.84934,39.953846,41.790955,32.02252,55.071217,53.79773,45.29655,42.670277,40.047676,46.330105,30.529936,32.433426
AGO,historical,rx5dayETCCDI,93.75887,91.99962,89.14573,90.49908,87.07064,91.2325,94.61815,92.88754,94.44892,86.96458,101.14405,89.015335,98.55697,89.060295,95.65224,92.3292,85.184845,94.97371,91.14118,88.50761,92.68208,88.423676,95.518036,88.28916,87.81589,100.29797,94.20151,90.17046,90.32507,93.67119,89.32867,93.15199,93.88319,91.45371,95.53912,93.4214,86.68296,89.95046,90.52934,95.95554,86.94747,96.845116,84.41017,92.59947,86.79132,93.509796,96.15896,97.81298,93.222435,89.067245,90.72581,87.916664,89.8518,89.96804,93.00747,87.42588,93.6012,93.873665,90.41826,97.57728,94.94435,87.11847,88.41464,92.115234,100.71626,90.45508,99.259445,94.181244,96.426865,95.92889,91.24381,94.41339,93.04079,96.0581,99.56874,99.41935,91.0746,97.61061,94.315834,94.75282,97.43174,99.29392,91.74382,95.40766,95.17213,94.866905,97.27836,94.08538,93.22779,91.169846,92.664055,92.732414,99.11398,101.72575,100.36552,94.4585,100.2879,95.02784,97.21311,90.34681,90.285805,93.818504,97.98479,91.41189,87.25378,98.13257,95.722626,94.25962,93.667046,97.25889,94.26991,96.74123,89.76962,88.69032,90.06082,102.40324,102.37304,96.17756,90.51548,93.62381,94.45827,98.15399,93.50182,93.34951,97.29911,95.15366,94.14505,95.65552,95.686295,99.99281,99.058655,97.28322,97.06885,94.20904,90.65748,94.2952,96.64282,99.11214,90.71698,97.96337,102.28759,90.652016,88.98513,94.62897,96.81399,95.47603,92.796906,99.328354,91.558365,100.69368,94.72786,91.70236,85.01161,93.08393,97.69634,97.151306,102.16273,90.24043,93.99647,100.38606,99.40083,95.78317,94.9877,94.86337,95.17819
ALB,historical,rx5dayETCCDI,73.73586,67.14614,107.90979,116.187874,126.21979,75.51833,82.93911,67.017845,97.98327,73.58043,92.135826,72.49024,66.569984,67.55518,94.26143,85.36583,94.983826,70.34239,92.836365,126.573296,76.19717,125.482216,96.81178,52.366367,84.249344,105.64718,74.3435,82.6335,85.18612,80.49354,72.40294,66.05256,119.82066,65.71428,93.119095,72.64685,103.94578,74.11825,77.64471,102.389656,116.841866,80.37206,96.01055,78.51443,93.71731,81.65203,82.36163,123.611946,94.23231,75.79254,108.70612,83.482285,108.629326,87.91224,67.803604,76.89147,95.64198,94.09523,88.64828,82.077866,64.98349,92.47832,99.13037,61.829876,84.43691,73.45831,89.280106,73.510056,88.38469,73.93544,147.95496,57.082417,62.67038,79.922424,85.59349,73.65846,77.16633,121.605034,95.33635,153.27177,102.238945,95.05798,81.68664,74.77798,93.833,80.534164,81.520256,64.07578,90.59822,112.82755,99.67467,87.682945,73.32551,73.521545,65.60815,56.92954,85.7968,65.90422,86.752625,80.59102,79.58406,84.770325,68.9243,63.15235,78.263756,83.76412,60.743427,119.25678,75.07965,92.35186,87.03693,92.38677,96.864296,101.46721,81.578125,69.73144,73.053246,85.37157,59.164135,122.73268,102.94834,82.27146,80.15999,92.05576,75.98875,97.907875,86.09963,72.264145,95.79152,110.33987,79.7415,58.817463,70.83634,77.467995,86.61851,100.0268,70.90249,66.32157,115.05687,78.21523,98.343,77.592,68.553314,66.469505,66.91111,98.531715,80.77394,74.37232,99.659195,63.69092,79.49609,126.92694,96.68876,115.42272,77.91207,78.54153,111.54633,78.91077,96.24983,94.87699,73.361145,95.97719,89.05639,78.16877,96.10065
ARE,historical,rx5dayETCCDI,28.283176,13.11918,15.383631,2.1416528,4.6622996,11.144189,28.188662,14.03757,11.350169,10.633909,4.907924,20.695652,14.758341,34.918034,8.821908,4.138641,7.734298,13.019177,1.5782377,15.851278,35.730232,13.639119,12.686952,7.9944043,38.09072,42.241116,4.895206,28.31973,5.0151596,13.713252,4.5853186,17.015184,10.756522,5.239128,24.662786,3.7099383,6.899203,2.7622151,10.19531,5.1810236,19.720503,8.830097,36.88691,3.2750244,4.4846034,17.04518,35.892803,4.5726576,2.065358,13.952838,6.091296,0.7685269,1.8712696,21.768131,22.815168,10.448703,7.9069176,17.324308,4.900422,3.6009007,6.5414577,7.402817,2.6987991,11.065444,1.3703629,3.4914627,9.662305,6.1180997,2.6546595,22.185104,10.482917,7.7015452,2.9581707,22.451666,25.564602,2.86558,13.653227,3.2141883,5.7843676,22.377655,1.8980677,2.2847779,9.216156,15.512993,4.3028874,8.7119,9.892156,9.777127,3.3143373,18.644865,19.349203,4.01151,7.1492233,4.191514,12.510002,7.082757,9.116433,1.450765,9.055718,3.2195432,3.785189,21.760172,6.1598516,31.012104,1.1451892,0.79184145,15.254503,8.73215,5.6336412,8.504012,32.49075,7.9959936,7.9038568,15.893643,22.662588,14.963967,1.278291,11.783279,5.0179343,61.067226,22.12836,3.5327885,3.0530884,15.583728,60.034077,8.775627,52.633587,9.835394,29.815718,5.455401,7.4585767,52.772057,27.455944,15.931272,11.275483,8.502152,9.092611,8.111546,3.556061,9.672483,41.930164,8.96366,5.328014,23.926907,12.043517,5.281953,7.1389656,10.080899,12.34582,9.463313,2.8555093,9.955239,5.5213976,5.064578,9.574388,19.143007,4.148765,24.132381,46.65459,56.98376,32.99194,8.17028,26.329298,1.8719189,4.4543924
ARG,historical,rx5dayETCCDI,83.87817,85.40992,89.85539,84.7666,88.790344,82.170746,84.732376,75.54217,82.33319,80.751175,77.25505,74.45914,80.7686,78.47386,75.695,72.45461,86.33681,79.41255,81.92944,87.57077,80.28109,77.00443,70.779434,84.48938,90.74228,83.04,77.4594,80.85943,80.2638,81.89258,94.7562,90.0801,85.92685,81.28101,76.73854,78.99224,78.958,75.55674,78.476456,78.484795,83.87458,76.37905,78.69496,80.89674,81.65556,77.385315,85.73305,84.01762,75.24151,83.36098,83.19135,86.81049,76.40791,90.68408,84.646225,84.66082,90.42919,87.93149,81.83244,80.604324,84.67922,82.045746,75.92163,79.313644,79.69459,74.45051,75.018425,81.871025,89.08623,76.95414,81.08117,79.94505,82.16861,86.19815,86.139725,83.490005,81.04388,84.67306,85.94803,85.177246,84.89645,89.329445,81.10741,85.65841,80.42785,76.30082,80.24722,77.752205,84.38405,90.259476,79.74612,74.82257,86.02782,80.60801,76.29085,86.3682,82.45407,87.420784,78.5862,69.60066,84.76679,89.4969,79.17549,82.810074,92.43741,95.25879,81.43742,75.8286,93.870125,89.515945,91.925606,79.61825,87.12439,83.84305,82.91785,87.03693,85.99905,87.52888,87.13548,80.00811,88.989395,107.87053,87.92849,79.25208,85.64028,79.201416,81.57284,99.58821,84.655525,88.436,88.33084,80.118454,90.702286,84.58973,99.34361,87.09597,91.099045,80.76416,65.86325,74.381325,87.52328,94.42139,83.78238,89.20019,83.85933,76.69771,79.51184,86.63879,88.31436,91.930595,84.70385,81.96192,79.946686,85.297585,85.81376,70.80718,83.42678,86.155525,91.703995,92.03278,84.69092,86.44204,94.716606,87.77648,99.66148
ARM,historical,rx5dayETCCDI,70.77781,54.812927,70.746056,51.593643,45.804718,46.729168,49.60664,47.392452,61.08105,60.976658,56.062786,53.19337,49.98648,57.790283,55.280903,50.69835,63.887115,51.596024,51.238453,41.154312,57.39011,59.666107,55.73535,48.54962,49.49948,43.01386,56.275135,85.60801,53.973297,46.282795,43.037918,63.650074,51.64587,68.03443,49.343487,64.2759,72.26472,46.640198,61.592556,61.17274,60.771667,54.9221,61.3562,64.33421,59.873745,49.584484,61.979828,56.316303,63.393047,71.856026,49.99931,45.46919,41.685257,61.612568,60.33998,48.08986,53.86501,53.18704,48.85677,71.83899,51.71504,51.54138,43.522522,53.079056,60.124653,50.272797,68.283775,55.97556,58.54552,73.44014,68.35613,45.692875,40.464336,52.290813,53.76357,73.87229,48.307507,42.97754,58.34782,51.974674,66.54125,49.19801,50.364452,56.064972,43.32214,53.65195,65.589775,49.561565,42.148106,44.461426,53.286163,53.96825,54.340824,54.220764,52.806854,62.703815,45.74651,59.788647,60.363647,59.14395,46.106384,57.494526,52.812824,59.019604,43.47472,63.322235,52.45886,63.854145,52.759975,60.036755,49.834778,47.515823,52.96408,55.824924,59.2021,49.027843,76.34986,43.407852,47.46227,47.038548,60.002274,50.95032,47.671947,67.72129,62.9333,53.57587,55.97531,49.124584,58.591343,49.124073,52.515636,58.880722,82.862785,52.866497,42.054546,44.63505,47.629944,49.964123,55.8831,52.20259,48.262558,57.050686,59.045727,57.867283,51.382748,50.109203,43.853367,57.047596,62.076748,47.681812,53.27016,71.27808,45.12151,49.93079,68.35433,69.15786,71.004074,62.93019,57.26053,62.07086,62.325382,63.609562,53.26532,51.12939,46.626102
ATA,historical,rx5dayETCCDI,19.492823,17.269407,16.83474,16.39187,16.179783,16.798061,16.58914,16.363409,17.092995,16.052475,17.06412,18.311686,18.633186,17.395708,17.785015,18.128878,17.647984,17.52366,16.732946,15.913694,16.774294,16.518055,13.826183,18.221615,18.274418,16.921698,18.695957,18.17346,15.929829,16.284472,15.1327,16.002523,16.74284,17.19833,20.202042,18.422405,18.414286,15.023192,17.093557,16.364914,18.735823,16.881237,17.929316,15.623373,16.4309,16.30359,15.763683,15.268541,18.324919,17.116224,17.772514,15.433418,16.70329,17.605957,18.08313,19.067694,18.185171,17.958513,16.274757,17.02394,17.32632,16.697777,17.572739,15.307551,17.891766,18.911684,16.191797,16.675291,18.510323,17.447083,17.17278,18.782173,16.743961,17.372381,16.347757,18.072918,17.455547,17.73023,18.953283,16.261524,18.148132,14.423199,18.231531,16.186302,18.450764,17.039312,18.755562,16.528362,17.11699,17.9007,18.72638,14.76309,16.220385,17.726582,15.2459955,15.987969,16.807665,15.813943,16.625006,16.93048,16.878336,15.9342165,17.331995,18.84082,16.412369,15.418295,19.328278,19.10513,16.786367,17.959724,16.394396,18.577017,16.824453,18.362036,17.176632,17.3226,16.681805,16.969946,15.875623,18.112917,18.208696,17.56693,16.873285,16.428614,17.21561,20.304081,19.203493,17.76754,17.034317,17.229992,16.98984,18.136562,17.757668,20.24978,18.871264,17.149757,17.284454,17.961224,17.217888,19.779547,18.301226,18.464485,16.56636,18.002996,19.51128,16.111559,16.033968,17.106342,15.67394,19.759932,18.326736,17.820076,18.596355,17.527866,18.187065,18.78161,20.180311,18.488615,18.392574,20.513317,17.003603,19.328604,19.400019,18.604256,20.181528
ATF,historical,rx5dayETCCDI,101.84603,50.02652,64.41362,60.23979,58.00899,81.29824,53.67681,63.11686,51.034588,62.539055,61.968227,57.6111,63.34563,85.398384,63.201157,55.182034,72.89475,55.969852,66.68445,72.97904,51.242203,54.661423,60.166344,55.049896,54.171528,55.560947,92.94481,75.425545,69.14925,59.94906,60.85496,65.45232,55.69548,61.79884,86.55992,67.55351,63.918797,52.816986,102.03771,48.462574,52.129066,50.390476,50.867065,42.451874,55.891212,48.471054,71.4891,67.99106,48.2616,56.771114,57.940136,58.276764,54.735664,54.239517,61.34182,72.07718,74.189514,53.820686,55.58732,58.998116,71.457054,86.11789,44.66416,63.254635,66.161224,58.52877,70.70777,60.7819,57.86102,44.73636,63.5027,64.15148,56.709003,50.318344,66.896034,57.42714,56.192596,51.08863,66.24647,58.876213,55.189865,57.602116,83.54947,58.50864,54.9156,51.71387,55.771297,61.253983,62.436504,51.925915,53.48313,57.418358,54.5189,62.97647,54.672695,61.769783,45.242695,51.51114,68.496704,57.307194,60.340534,52.952694,50.594444,62.568573,64.79588,51.19576,60.86667,53.65365,61.910366,52.43676,68.063965,50.454247,66.00346,60.760178,64.094734,54.62929,56.04488,53.712475,58.468582,53.051857,46.108433,47.06806,50.336056,58.905773,67.99512,78.732735,66.53499,60.47923,44.09976,52.37366,67.224,78.758026,53.632896,53.739677,48.615257,76.9715,57.711353,50.7163,58.119892,56.86254,65.80663,52.29138,58.661488,58.083115,54.084694,51.70334,46.89538,70.2854,55.325134,60.104084,70.28006,56.332996,70.33113,61.82157,44.463013,69.39365,60.005222,56.856297,51.992474,54.913673,49.383667,53.922962,61.52622,68.02307,55.34634
AUS,historical,rx5dayETCCDI,86.22534,93.34655,85.638954,84.41134,95.650185,92.26376,89.523705,80.443726,84.24443,88.39105,90.34133,91.12189,89.08929,75.518745,84.01877,73.17553,89.73309,78.65776,106.25663,75.89525,82.9446,66.46052,93.753105,73.02513,102.29881,82.358696,91.85565,70.13981,91.65353,84.67142,82.39674,75.70198,90.706856,100.13935,83.19332,72.228584,74.7787,82.40426,80.536674,72.95948,79.005844,91.85557,80.196,71.27667,88.748764,90.10671,87.502075,100.60462,90.93751,78.73902,72.29818,87.944595,87.32086,75.944084,83.028564,76.95573,89.11327,78.87777,76.41896,73.91272,79.326485,99.97852,89.955536,90.61099,91.86858,95.8626,93.788284,71.68356,105.94188,77.715706,93.76935,77.61519,78.29631,80.60578,70.006424,85.82907,84.4095,75.833916,81.63288,71.72252,87.040085,86.6461,89.64406,86.556526,79.52419,98.41292,77.853745,77.47015,99.82612,72.24821,83.85018,83.80583,94.890594,83.9801,75.06553,94.73457,71.17378,89.98591,83.6837,98.30907,101.5579,84.44984,90.17875,92.47204,77.15325,92.023705,87.8862,66.14784,85.82289,91.93516,101.15585,88.00575,95.44701,102.188484,78.08122,81.978294,70.740555,71.21211,95.972466,78.51207,81.85398,78.546684,87.067,88.99772,84.16214,75.92957,90.07854,71.30062,80.733475,91.7111,73.571724,99.83012,95.202774,79.4867,99.09354,84.09484,61.32837,60.73549,83.58937,72.81508,72.422295,84.36164,94.3834,77.98714,102.23976,78.77236,79.61788,78.524765,74.4396,95.6842,83.916985,89.87828,70.89968,63.938446,88.12842,88.53824,70.868256,82.415985,89.924576,98.748856,66.526474,81.48694,67.08482,91.0637,98.20457
