iso_a3,SSP,variable,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
-99,ssp5,rx5dayETCCDI,64.66203,59.422573,60.392914,65.85623,66.381966,68.92773,58.170902,65.94941,72.67763,66.336136,65.03447,67.97818,63.366165,71.0077,65.433174,69.83011,67.226555,66.196526,71.683586,63.98661,67.9223,67.7734,62.73341,68.87285,70.28835,80.45573,70.07015,73.01595,76.18599,69.88403,71.96279,67.507965,66.130775,65.29,65.45307,74.76629,71.82759,73.85242,70.550385,66.257225,65.36634,72.9232,72.62869,74.98421,73.73231,68.22436,68.23998,68.64164,69.19389,78.7268,66.20829,66.985054,83.64742,74.59458,69.72731,81.13358,75.14925,68.77339,76.02805,71.1057,73.09641,68.844925,80.19319,69.67078,66.840256,73.35852,78.94416,77.36151,71.7713,70.0779,79.642525,80.533424,82.84557,77.70781,73.826164,80.691185,80.3176,76.75413,77.04391,81.205154,85.17094,83.83137,82.63742,76.66352,82.337685,81.49512
AFG,ssp5,rx5dayETCCDI,49.604996,38.908543,37.901188,44.9191,60.509266,46.89607,30.000547,41.324783,24.261953,41.24576,61.24576,46.46472,46.668472,69.79637,31.273651,30.85687,34.46938,61.363758,32.93269,32.650482,43.156853,47.402245,30.135757,44.324783,44.091957,51.39648,49.45406,24.908667,46.612312,32.152252,64.61554,70.23941,59.19536,36.646564,24.335266,76.883934,61.284454,52.874718,26.722694,25.82706,67.18351,56.692913,49.076225,34.09306,60.981487,45.58844,34.90171,24.437557,64.20969,54.845123,52.133064,46.79165,64.11918,48.617424,38.954426,84.46198,48.9974,27.763504,57.704926,42.044594,59.947414,35.53335,44.37043,51.158535,53.51992,29.574606,34.160168,59.220875,44.281494,33.673573,52.635056,50.155216,31.11523,31.745663,43.408794,51.352642,49.887268,51.464382,22.953299,39.921528,62.386074,39.073235,44.33974,54.404606,32.333385,76.577255
AGO,ssp5,rx5dayETCCDI,99.41002,96.890976,99.406525,94.93253,100.95486,95.61995,99.3599,95.536766,98.442055,97.15374,107.89189,98.078186,97.11014,101.71254,96.46994,105.69773,99.71384,99.53396,97.686005,105.22069,94.64099,97.126625,98.76764,102.21683,98.21255,98.63879,96.07325,98.15776,101.29629,113.92353,102.77069,97.3723,98.97133,97.74184,101.30459,95.91898,102.59086,101.82287,99.68447,100.50252,103.97659,110.574585,100.51069,94.087814,103.653534,110.92492,107.200356,105.11537,109.97309,109.63077,102.235275,98.79149,106.1576,106.824394,106.04375,102.47896,108.82084,110.49985,106.293365,115.04821,116.46176,107.31447,107.31969,111.39331,120.05146,119.01776,108.71615,110.19708,112.33345,111.64088,109.76709,121.38461,98.873344,115.28188,111.95978,110.98409,109.95386,124.220276,118.66409,112.53368,123.14391,113.92165,114.13042,114.64516,119.5212,124.01856
ALB,ssp5,rx5dayETCCDI,76.26982,96.92769,80.42348,100.39619,98.23729,63.37701,148.32956,85.44654,95.82516,94.43282,69.24199,86.909676,91.582504,96.22599,82.71189,88.95829,93.794785,94.81788,83.506065,73.166664,77.9257,99.13975,84.25002,77.73644,111.976456,109.98804,68.49261,84.51325,85.8104,83.08113,121.800545,89.569664,123.55636,86.10827,96.89172,116.84947,113.116165,122.44506,113.81954,110.43587,66.97414,103.42085,104.25619,85.82522,140.67728,80.23531,82.105354,83.06732,110.56878,82.325485,99.039246,95.007805,90.30659,100.827675,96.28367,78.47722,128.85878,87.80497,119.05404,108.66084,112.83785,78.31441,89.469864,109.89741,97.876205,107.38285,86.08142,81.947556,116.16286,81.1156,149.04639,134.15245,96.35464,84.53783,84.62152,112.573845,85.8408,73.46605,129.22203,85.91569,88.56391,99.79989,126.320595,107.66483,121.442986,81.223015
ARE,ssp5,rx5dayETCCDI,10.006193,15.198249,6.599072,36.54809,18.216827,10.563058,8.595576,49.9047,1.2959665,11.260215,73.965645,19.239763,17.402105,22.705767,8.546298,3.9369633,2.0064402,3.086067,1.4622939,1.0287803,18.621342,36.351997,48.365364,2.930376,30.142216,11.965345,15.979294,3.164266,16.440931,6.310805,8.295759,19.382175,12.98751,16.427446,1.4102862,51.53964,60.102688,2.8830793,1.3116343,14.708994,19.545559,34.387188,1.6355995,0.39664772,71.62095,16.081938,2.0084732,1.1321615,12.160654,8.413225,1.684275,42.409668,69.86692,6.346898,8.045145,117.135605,14.019633,29.192902,5.578312,5.328486,69.03637,2.4914289,24.05045,13.847968,19.542067,40.0296,2.3980014,22.059208,106.34832,1.9761143,23.641195,64.23918,1.4688797,4.5684977,14.607222,35.7634,21.677937,207.46194,2.2526424,34.963306,14.7836685,49.155857,3.3216915,24.981699,4.844883,21.320587
ARG,ssp5,rx5dayETCCDI,94.147766,81.59517,85.57147,93.90693,86.9178,93.58419,87.3814,94.850716,89.88405,91.841606,91.86915,91.54634,97.24811,87.39262,95.84606,92.835106,96.47251,90.53583,93.92086,89.6098,101.92853,89.715355,96.63502,93.23389,101.065994,97.91443,92.88898,88.70223,87.50499,92.193405,93.862946,89.83818,104.161896,87.799644,83.929665,89.296074,105.13052,98.31964,99.76093,80.06006,96.85318,108.892654,121.04837,109.92687,107.8099,94.60318,93.00902,107.329025,100.54375,117.347725,87.304565,87.47846,116.34479,98.36454,98.872185,101.11565,102.20129,86.6684,92.523445,101.244026,114.27648,90.48133,107.37889,97.47462,92.28761,89.44916,96.72211,116.74747,110.23101,98.64496,101.76378,101.35371,114.09399,96.51381,107.372574,117.04691,115.24214,99.80531,118.430626,108.37735,121.76277,107.14517,109.06262,102.44174,138.17186,117.57303
ARM,ssp5,rx5dayETCCDI,52.291016,58.513382,42.79834,58.938934,70.66213,54.747875,41.106514,54.87386,64.17747,51.29651,65.76178,50.982788,41.838833,54.052628,46.993275,92.99624,76.46021,63.642956,49.280533,53.872456,52.18611,63.30414,51.587597,52.169174,88.84144,70.77244,68.573875,42.118076,49.60243,52.720875,53.380367,72.14965,53.010548,59.081715,60.12259,57.27493,54.27591,55.810944,43.472454,51.767666,81.48776,67.98011,53.93814,56.001415,60.624577,59.787884,62.986446,66.58314,66.227264,65.95698,77.76307,61.35858,69.5811,74.734764,64.8499,73.41567,55.845444,39.157864,62.5784,79.011154,65.72816,61.14101,49.436493,65.69597,70.06359,64.418785,50.34227,58.098248,68.17114,53.829533,77.68107,71.42741,56.444077,48.678295,59.029346,78.38776,54.958363,72.76486,64.42681,63.377335,57.933582,81.19229,52.351807,61.332096,72.53101,48.268948
ATA,ssp5,rx5dayETCCDI,17.46844,18.290771,18.67445,17.866983,18.271046,17.673777,20.096195,17.315893,18.59848,18.210114,18.175333,19.961346,17.702213,18.908775,18.805136,19.924816,18.52189,20.12416,18.429386,17.763765,20.09081,19.041126,19.094872,16.793707,18.733599,19.334162,19.058762,22.045887,18.238113,20.951767,19.693905,19.84217,18.784647,19.663553,20.52715,19.430092,18.523178,18.656689,19.151808,20.264719,22.666851,20.706629,19.957047,21.545078,20.05251,20.920225,19.798721,19.540398,21.275497,22.038975,22.37294,22.887161,20.135752,21.221527,20.319508,21.813265,20.601017,19.669752,20.407192,20.829838,20.645285,20.386992,21.017561,20.94904,23.503345,22.476074,22.104746,22.94141,22.748907,19.918287,22.966225,23.099258,25.385187,27.120892,25.453587,24.723604,24.593071,25.761328,24.916458,20.533073,22.482458,25.213448,23.123632,26.402584,26.044136,26.324234
ATF,ssp5,rx5dayETCCDI,57.223057,56.87986,80.450226,60.77556,68.634735,83.83032,55.284508,58.28944,66.94675,54.48687,65.80778,57.268173,59.641033,78.42762,54.329613,61.234222,77.88992,63.12068,85.3311,55.5987,51.02976,76.77205,60.51712,80.56948,53.70472,54.753788,69.02805,52.54937,67.73639,55.75521,58.88624,57.245937,56.864204,53.798096,93.1911,55.449287,67.15253,77.281,61.45877,87.58869,67.5018,76.62489,73.72722,85.279884,83.55409,71.57147,60.305435,54.99706,93.525856,69.26548,63.336895,62.198044,62.401405,65.59934,78.16826,66.01883,60.23525,64.10545,67.428566,59.761753,60.266327,65.812355,78.327934,66.780556,68.06051,76.89397,71.66122,64.942566,68.3165,61.25947,73.13754,58.79262,83.26839,55.97912,88.237015,87.40625,57.263737,65.09851,63.608864,60.586742,73.66749,71.8996,68.114426,86.014854,140.34204,73.35599
AUS,ssp5,rx5dayETCCDI,100.23702,93.25142,99.48655,71.04603,89.60273,99.861946,96.2994,98.03031,99.247696,83.39756,83.44876,87.896286,91.29798,88.201256,96.73626,95.02302,88.50867,95.74111,108.68958,92.21239,99.91446,84.44808,97.482605,88.75371,91.841774,75.71836,96.140816,108.423744,94.09969,97.64425,90.333725,92.73601,114.63176,121.06536,104.618675,102.23842,89.47135,108.765236,117.48637,108.77885,105.23416,109.02723,107.52895,96.47571,78.83251,99.6313,134.73225,115.38118,97.81088,111.540436,96.538506,97.719505,98.286514,80.45191,108.277115,94.40122,116.42898,116.25068,112.510086,87.74187,110.473015,142.58757,130.77324,101.80934,102.34118,118.22936,131.28781,113.08981,132.46881,130.5473,110.22732,121.27199,135.67685,157.85008,122.40733,124.92004,149.08054,132.0849,166.1985,137.6562,150.0083,167.33905,136.84276,130.8141,91.47617,168.81703
