iso3,year,cdd,rx1day,rx5day,warm_days,warm_nights,wsdi,conflict_probability,hazard
AFG,2015,-6.405428344265573,1.2321263333333334,6.764387933333332,17.894625,19.496311,32.284615384615385,,8.711329219661812
AFG,2016,6.440725501888295,0.3657733333333368,0.511778933333332,11.998739,17.339218,10.753846153846156,,8.6
AFG,2017,30.909956271119057,-5.625574666666665,-6.988324066666664,21.51528,19.393045,34.223076923076924,0.93155,8.8
AFG,2018,-24.828505267342493,8.450346333333336,10.393103933333336,16.402529,23.494204,17.115384615384617,0.901725,8.7
AFG,2019,-7.490043728880948,5.297711333333336,15.241098933333332,22.035828,22.396206,28.93076923076923,0.8736750000000001,8.8
AFG,2020,17.1968049063548,-6.904369666666664,-10.219836066666666,33.453133,27.183691,67.96923076923076,0.8485124999999999,8.8
AFG,2021,23.417648578811367,-1.386133666666666,0.1783279333333354,30.400423,29.441517,73.0,0.829175,8.9
AFG,2022,28.17918704034983,-0.3002976666666654,-2.5720680666666667,18.056902,18.697575,25.93846153846154,0.81045,8.9
AFG,2023,-7.78235142118865,-4.7108436666666655,-7.2849740666666705,13.18019,19.327713,14.323076923076924,0.7897124999999999,8.9
AFG,2024,5.709956271119069,3.7983033333333367,7.055095933333334,34.57545,32.616646,73.93846153846154,0.7757125,8.7
AFG,2025,-39.620812959650166,15.370066333333334,34.761445933333334,17.049524,26.174921,27.67692307692308,0.7739625,7.6
AGO,2015,-6.041550387596885,5.558338366666668,10.592494766666675,20.028034,35.680153,24.316279069767443,,3.525899031858755
AGO,2016,-1.0648062015503823,2.2882383666666684,5.779474766666681,19.379845,30.35837,22.693023255813955,,2.3
AGO,2017,-22.53457364341085,0.1406093666666663,-2.568985233333322,26.521822,29.211851,45.627906976744185,0.0899125,3.9
AGO,2018,-4.91131782945736,0.268661366666663,-2.297495233333322,25.912712,37.007965,43.31627906976744,0.131,4.3
AGO,2019,2.3863565891472973,3.8121183666666663,2.1409347666666747,34.84422,49.126472,61.53488372093023,0.165125,3.6
AGO,2020,8.521240310077545,0.2827743666666649,-1.3359992333333253,20.543907,23.395603,28.67441860465116,0.1985125,4.0
AGO,2021,20.91658914728684,0.9175683666666644,0.6746647666666803,18.95763,26.565147,23.80465116279069,0.2267,3.5
AGO,2022,-7.8136434108527055,-0.2503816333333333,-0.939645233333323,14.821281,25.597961,19.32093023255814,0.2589625,3.0
AGO,2023,14.14914728682173,1.3843873666666653,5.349164766666675,22.328129,32.324947,29.032558139534885,0.283725,2.7
AGO,2024,-21.08341085271317,5.057154366666666,9.063689766666684,18.028975,39.401447,28.73953488372093,0.3034,4.2
AGO,2025,5.781705426356595,1.7447843666666645,4.286078766666677,32.495697,54.18541,47.63720930232558,0.32015,4.4
ALB,2015,-5.871428571428574,-2.185879066666665,2.343677933333339,26.7319,26.223093,43.0,,1.994994242067164
ALB,2016,9.699999999999989,7.257798933333333,1.979787933333327,16.35441,17.056988,42.42857142857143,,2.7
ALB,2017,-5.728571428571431,2.549447933333333,14.55250293333333,33.502937,35.264187,75.85714285714286,0.009025,3.5
ALB,2018,2.9857142857142875,2.8439379333333363,0.186017933333332,25.792562,27.632093,47.85714285714285,0.0096875,3.3
ALB,2019,-4.157142857142858,-4.913569066666668,-12.86386206666667,30.019571,35.53816,47.142857142857146,0.0121,3.3
ALB,2020,24.557142857142864,21.60816293333333,27.32677293333333,25.448868,25.68306,56.71428571428572,0.013025,3.9
ALB,2021,-6.157142857142858,6.983796933333338,22.037213933333334,16.67319,17.573385,19.0,0.0151,4.1
ALB,2022,19.41428571428571,-1.983157066666664,0.6245779333333275,19.373777,20.665361,34.857142857142854,0.017475,3.8
ALB,2023,5.414285714285711,17.812054933333336,12.35596293333333,27.632093,28.649706,56.42857142857143,0.015025,3.8
ALB,2024,8.271428571428572,-2.977782066666663,9.292407933333337,32.27947,32.86495,69.14285714285714,0.0178375,3.4
ALB,2025,-11.3,-1.0951390666666685,18.17137793333333,18.395304,18.982388,28.857142857142858,0.019737499999999998,3.5
ARE,2015,-78.99997252747252,-5.648973353333337,-8.074983216666666,16.007828,16.712328,20.142857142857142,,1.587718777397655
ARE,2016,-73.50546703296703,10.108827646666663,16.968815783333334,20.472288,17.857143,17.642857142857142,,2.9
ARE,2017,-71.64832417582414,-5.227426353333336,-8.264677216666666,21.428572,21.037182,28.857142857142858,,3.6
ARE,2018,96.13739010989012,4.485643646666663,12.255470783333331,16.966732,31.311155,12.357142857142858,,3.7
ARE,2019,-117.005467032967,18.379106646666663,22.12478378333333,31.585127,36.7319,52.0,,3.5
ARE,2020,99.9231043956044,-10.600059623333337,-15.493001416666663,31.92818,21.721312,39.35714285714285,,2.3
ARE,2021,218.3516758241758,9.664306646666663,18.49550078333333,22.99413,20.469667,22.0,,2.4
ARE,2022,-67.64832417582414,-0.7716473533333357,-1.3048202166666665,20.528376,20.958904,24.214285714285715,,2.3
ARE,2023,-52.32689560439559,-8.795460353333336,-12.735092516666668,30.645794,25.655577,39.92857142857143,,2.4
ARE,2024,30.06596153846164,4.432244646666664,10.101523783333334,40.456673,29.879,99.14285714285714,,2.5
ARE,2025,-101.21975274725273,25.997809646666663,44.329827783333336,28.825832,51.21331,58.642857142857146,,2.9
ARG,2015,-2.6802600472813296,2.6995884666666754,8.279254133333339,11.30137,13.074905,11.21631205673759,,3.004370112819839
ARG,2016,-0.5366430260047323,5.165958466666673,20.91459413333334,8.945664,12.465605,6.460992907801418,,2.4
ARG,2017,3.521867612293139,1.92570846666667,3.4265141333333418,23.798698,21.654037,34.49290780141844,0.0179125,3.0
ARG,2018,1.8161938534278903,1.840784466666676,2.249734133333334,10.255028,13.785096,5.723404255319149,0.0304125,2.5
ARG,2019,-3.148345153664309,11.053034466666674,14.152680133333334,10.048091,12.03585,7.847517730496454,0.0386125,2.4
ARG,2020,0.0466903073285998,3.352186466666673,2.901354133333342,10.625702,11.871681,6.060283687943262,0.047262500000000006,2.8
ARG,2021,4.013002364066189,4.16164246666667,10.260590133333338,12.167493,13.241524,10.78191489361702,0.055237499999999995,2.8
ARG,2022,-2.6855791962175,5.198702466666674,12.627294133333336,8.018557,10.403187,2.780141843971631,0.06305,2.6
ARG,2023,0.8569739952718614,2.954668466666675,9.91934413333334,14.012436,15.341009,13.907801418439716,0.0696875,2.4
ARG,2024,2.5786052009456206,3.765413466666672,5.574424133333338,13.55947,16.135721,10.404255319148936,0.07631249999999999,2.5
ARG,2025,-1.832742316784877,5.58153346666667,11.899134133333334,13.1798315,17.839794,10.679078014184396,0.083275,2.6
ARM,2015,1.3166666666666664,1.4172684333333372,1.5795249666666678,27.260275,30.319635,58.333333333333336,,2.276686200775678
ARM,2016,2.4833333333333343,2.301234433333338,-11.381487033333336,15.118398,17.213114,26.83333333333333,,2.1
ARM,2017,-2.5166666666666657,-0.3311615666666618,3.138084966666668,16.30137,19.269407,15.833333333333334,0.005562500000000001,3.5
ARM,2018,-2.1833333333333336,-1.4256825666666622,3.1150249666666667,21.232878,31.826485,38.5,0.010974999999999999,3.3
ARM,2019,6.983333333333331,0.7009954333333361,7.275780966666666,21.369864,23.515982,46.66666666666666,0.0123375,3.2
ARM,2020,6.816666666666666,0.6738144333333373,0.0718949666666688,31.375229,40.30055,57.0,0.015774999999999997,3.8
ARM,2021,-3.1833333333333336,3.711412433333337,8.177454966666673,17.945206,29.680365,28.666666666666668,0.0216,3.2
ARM,2022,-4.516666666666666,-3.764574566666664,-19.278361033333333,19.726027,19.908676,30.166666666666668,0.0213625,8.4
ARM,2023,-3.0166666666666657,1.2721724333333384,-7.580233033333336,30.41096,35.981735,70.33333333333333,0.023712499999999997,8.4
ARM,2024,6.983333333333331,-1.745095566666663,7.929634966666669,28.4153,36.065575,67.83333333333333,0.025875,2.0
